"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",605,8,32,"2025-03-13"
"@hyperweb/cli","hyperwebjs",123,2,13,"2025-03-13"
"hyperwebjs","hyperwebjs",1171,49,547,"2025-03-13"
"hyperweb-kit","hyperwebjs",122,0,12,"2025-03-13"
"@hyperweb/build","hyperwebjs",569,41,352,"2025-03-13"
"@hyperweb/ts-json-schema","hyperwebjs",258,9,152,"2025-03-13"
"interchainjs","interchain-js",13794,239,2092,"2025-03-13"
"injectivejs","interchain-js",7015,39,850,"2025-03-13"
"@interchainjs/utils","interchain-js",15155,265,3119,"2025-03-13"
"@interchainjs/types","interchain-js",15518,275,3172,"2025-03-13"
"@interchainjs/auth","interchain-js",13452,232,2432,"2025-03-13"
"@interchainjs/cosmos","interchain-js",14426,225,2406,"2025-03-13"
"@interchainjs/cosmos-msgs","interchain-js",381,1,3,"2025-03-13"
"@interchainjs/cosmos-query","interchain-js",376,1,3,"2025-03-13"
"@interchainjs/ethereum","interchain-js",6621,72,964,"2025-03-13"
"@interchainjs/injective","interchain-js",7395,59,1011,"2025-03-13"
"@interchainjs/cosmos-types","interchain-js",16693,272,2921,"2025-03-13"
"@interchainjs/ethermint","interchain-js",788,28,35,"2025-03-13"
"injective-query","interchain-js",92,1,2,"2025-03-13"
"injective-react","interchain-js",2263,23,714,"2025-03-13"
"injective-vue","interchain-js",1960,14,654,"2025-03-13"
"interchain-react","interchain-js",970,3,35,"2025-03-13"
"interchain-kit","cosmos-kit",5989,269,919,"2025-03-13"
"@interchain-kit/core","cosmos-kit",12079,265,1782,"2025-03-13"
"@interchain-kit/react","cosmos-kit",5877,237,906,"2025-03-13"
"@interchain-kit/vue","cosmos-kit",1716,24,170,"2025-03-13"
"cosmos-kit","cosmos-kit",51745,1366,5034,"2025-03-13"
"@cosmos-kit/core","cosmos-kit",705155,8230,37264,"2025-03-13"
"@cosmos-kit/react","cosmos-kit",152935,3186,12377,"2025-03-13"
"@cosmos-kit/react-lite","cosmos-kit",186942,3335,13383,"2025-03-13"
"@cosmos-kit/walletconnect","cosmos-kit",526790,7729,34654,"2025-03-13"
"create-cosmos-app","create-cosmos-app",5791,87,151,"2025-03-13"
"create-interchain-app","create-cosmos-app",1190,24,55,"2025-03-13"
"@interchain-kit/okx-extension","interchain-kit-wallets",5525,192,774,"2025-03-13"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4583,147,586,"2025-03-13"
"@interchain-kit/leap-extension","interchain-kit-wallets",5666,238,923,"2025-03-13"
"@interchain-kit/ledger","interchain-kit-wallets",5353,180,721,"2025-03-13"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5414,204,771,"2025-03-13"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5386,197,750,"2025-03-13"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5336,181,768,"2025-03-13"
"@interchain-kit/keplr-extension","interchain-kit-wallets",5860,237,929,"2025-03-13"
