"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",626,18,39,"2025-03-27"
"@hyperweb/cli","hyperwebjs",125,0,5,"2025-03-27"
"hyperwebjs","hyperwebjs",1435,89,357,"2025-03-27"
"hyperweb-kit","hyperwebjs",124,1,3,"2025-03-27"
"@hyperweb/build","hyperwebjs",650,50,147,"2025-03-27"
"@hyperweb/ts-json-schema","hyperwebjs",263,1,17,"2025-03-27"
"interchainjs","interchain-js",20135,4715,6802,"2025-03-27"
"injectivejs","interchain-js",7221,228,565,"2025-03-27"
"@interchainjs/utils","interchain-js",22506,4961,8012,"2025-03-27"
"@interchainjs/types","interchain-js",22845,4893,8000,"2025-03-27"
"@interchainjs/auth","interchain-js",19426,4412,6505,"2025-03-27"
"@interchainjs/cosmos","interchain-js",20760,4585,6822,"2025-03-27"
"@interchainjs/cosmos-msgs","interchain-js",384,0,5,"2025-03-27"
"@interchainjs/cosmos-query","interchain-js",379,0,5,"2025-03-27"
"@interchainjs/ethereum","interchain-js",7374,308,972,"2025-03-27"
"@interchainjs/injective","interchain-js",8245,392,1071,"2025-03-27"
"@interchainjs/cosmos-types","interchain-js",22886,4562,6822,"2025-03-27"
"@interchainjs/ethermint","interchain-js",796,0,41,"2025-03-27"
"injective-query","interchain-js",93,1,2,"2025-03-27"
"injective-react","interchain-js",2576,157,442,"2025-03-27"
"injective-vue","interchain-js",2240,138,390,"2025-03-27"
"interchain-react","interchain-js",1019,28,62,"2025-03-27"
"interchain-kit","cosmos-kit",6789,474,1204,"2025-03-27"
"@interchain-kit/core","cosmos-kit",17254,4000,5596,"2025-03-27"
"@interchain-kit/react","cosmos-kit",6641,379,1141,"2025-03-27"
"@interchain-kit/vue","cosmos-kit",1831,21,149,"2025-03-27"
"cosmos-kit","cosmos-kit",53450,1094,5015,"2025-03-27"
"@cosmos-kit/core","cosmos-kit",705652,8045,38735,"2025-03-27"
"@cosmos-kit/react","cosmos-kit",157375,4004,16280,"2025-03-27"
"@cosmos-kit/react-lite","cosmos-kit",190774,3751,16402,"2025-03-27"
"@cosmos-kit/walletconnect","cosmos-kit",531813,6914,35192,"2025-03-27"
"create-cosmos-app","create-cosmos-app",5953,235,377,"2025-03-27"
"create-interchain-app","create-cosmos-app",1222,16,73,"2025-03-27"
"@interchain-kit/okx-extension","interchain-kit-wallets",9688,3218,4488,"2025-03-27"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4717,26,348,"2025-03-27"
"@interchain-kit/leap-extension","interchain-kit-wallets",9886,3273,4602,"2025-03-27"
"@interchain-kit/ledger","interchain-kit-wallets",5603,66,557,"2025-03-27"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5741,147,652,"2025-03-27"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5683,98,611,"2025-03-27"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5553,90,527,"2025-03-27"
"@interchain-kit/keplr-extension","interchain-kit-wallets",10244,3356,4769,"2025-03-27"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4009,89,460,"2025-03-27"
"@interchain-kit/station-extension","interchain-kit-wallets",3980,69,449,"2025-03-27"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",3980,79,456,"2025-03-27"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4053,79,463,"2025-03-27"
