"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",626,0,30,"2025-03-31"
"@hyperweb/cli","hyperwebjs",125,0,4,"2025-03-31"
"hyperwebjs","hyperwebjs",1555,139,464,"2025-03-31"
"hyperweb-kit","hyperwebjs",125,1,4,"2025-03-31"
"@hyperweb/build","hyperwebjs",681,45,169,"2025-03-31"
"@hyperweb/ts-json-schema","hyperwebjs",263,1,14,"2025-03-31"
"interchainjs","interchain-js",21443,3793,8086,"2025-03-31"
"injectivejs","interchain-js",7219,143,563,"2025-03-31"
"@interchainjs/utils","interchain-js",23932,3660,9403,"2025-03-31"
"@interchainjs/types","interchain-js",24254,3636,9377,"2025-03-31"
"@interchainjs/auth","interchain-js",20826,3654,7875,"2025-03-31"
"@interchainjs/cosmos","interchain-js",22187,3753,8217,"2025-03-31"
"@interchainjs/cosmos-msgs","interchain-js",387,3,7,"2025-03-31"
"@interchainjs/cosmos-query","interchain-js",382,3,7,"2025-03-31"
"@interchainjs/ethereum","interchain-js",7635,412,1217,"2025-03-31"
"@interchainjs/injective","interchain-js",8565,494,1375,"2025-03-31"
"@interchainjs/cosmos-types","interchain-js",24400,3761,8306,"2025-03-31"
"@interchainjs/ethermint","interchain-js",804,8,46,"2025-03-31"
"injective-query","interchain-js",93,1,2,"2025-03-31"
"injective-react","interchain-js",2650,158,509,"2025-03-31"
"injective-vue","interchain-js",2280,118,419,"2025-03-31"
"interchain-react","interchain-js",1031,38,69,"2025-03-31"
"interchain-kit","cosmos-kit",6851,324,1182,"2025-03-31"
"@interchain-kit/core","cosmos-kit",18405,3046,6656,"2025-03-31"
"@interchain-kit/react","cosmos-kit",6858,444,1274,"2025-03-31"
"@interchain-kit/vue","cosmos-kit",1859,40,172,"2025-03-31"
"cosmos-kit","cosmos-kit",53937,1009,4907,"2025-03-31"
"@cosmos-kit/core","cosmos-kit",707362,8594,38208,"2025-03-31"
"@cosmos-kit/react","cosmos-kit",158563,3837,16394,"2025-03-31"
"@cosmos-kit/react-lite","cosmos-kit",191693,3733,16024,"2025-03-31"
"@cosmos-kit/walletconnect","cosmos-kit",533919,7506,34156,"2025-03-31"
"create-cosmos-app","create-cosmos-app",5833,10,356,"2025-03-31"
"create-interchain-app","create-cosmos-app",1222,3,67,"2025-03-31"
"@interchain-kit/okx-extension","interchain-kit-wallets",10619,2688,5337,"2025-03-31"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4783,78,352,"2025-03-31"
"@interchain-kit/leap-extension","interchain-kit-wallets",10827,2721,5461,"2025-03-31"
"@interchain-kit/ledger","interchain-kit-wallets",5675,108,549,"2025-03-31"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5746,90,581,"2025-03-31"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5827,172,675,"2025-03-31"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5559,31,456,"2025-03-31"
"@interchain-kit/keplr-extension","interchain-kit-wallets",11190,2757,5630,"2025-03-31"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4064,73,460,"2025-03-31"
"@interchain-kit/station-extension","interchain-kit-wallets",4034,71,442,"2025-03-31"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",4169,205,590,"2025-03-31"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4107,68,461,"2025-03-31"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",3592,401,996,"2025-03-31"
"@interchain-kit/trust-extension","interchain-kit-wallets",2792,94,409,"2025-03-31"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",3471,399,1031,"2025-03-31"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1621,40,208,"2025-03-31"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",59310,592,2892,"2025-03-31"
"@cosmos-kit/ledger","cosmos-kit-wallets",69707,1433,6185,"2025-03-31"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",45557,1611,6928,"2025-03-31"
"@cosmos-kit/fin","cosmos-kit-wallets",63698,1334,7058,"2025-03-31"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",65376,1162,5637,"2025-03-31"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",381304,4585,23045,"2025-03-31"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",345118,5038,23011,"2025-03-31"
"@cosmos-kit/shell","cosmos-kit-wallets",61847,1201,5272,"2025-03-31"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5904,125,314,"2025-03-31"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",448659,6234,26850,"2025-03-31"
"@cosmos-kit/vectis","cosmos-kit-wallets",71509,600,3163,"2025-03-31"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",67955,1248,6987,"2025-03-31"
"@cosmos-kit/ninji","cosmos-kit-wallets",11445,173,571,"2025-03-31"
"@cosmos-kit/station-extension","cosmos-kit-wallets",374636,3892,19198,"2025-03-31"
"@cosmos-kit/coin98","cosmos-kit-wallets",65751,1168,5657,"2025-03-31"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",502724,7154,31986,"2025-03-31"
"@cosmos-kit/exodus","cosmos-kit-wallets",60142,1171,5486,"2025-03-31"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",335862,4978,22635,"2025-03-31"
"@cosmos-kit/leap","cosmos-kit-wallets",482989,7108,32107,"2025-03-31"
"@cosmos-kit/xdefi","cosmos-kit-wallets",370548,4261,19681,"2025-03-31"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25790,736,2803,"2025-03-31"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5924,192,383,"2025-03-31"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",427420,5847,25847,"2025-03-31"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",62376,1154,5339,"2025-03-31"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",423034,5723,25052,"2025-03-31"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",70641,597,3133,"2025-03-31"
"@cosmos-kit/station","cosmos-kit-wallets",374112,3867,19139,"2025-03-31"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",61383,1177,5591,"2025-03-31"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",473538,6547,29710,"2025-03-31"
"@cosmos-kit/initia","cosmos-kit-wallets",5483,173,291,"2025-03-31"
"@cosmos-kit/frontier","cosmos-kit-wallets",58424,598,3005,"2025-03-31"
"@cosmos-kit/trust","cosmos-kit-wallets",344125,5030,23032,"2025-03-31"
