"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",646,20,49,"2025-04-07"
"@hyperweb/cli","hyperwebjs",126,1,0,"2025-04-07"
"hyperwebjs","hyperwebjs",1577,22,433,"2025-04-07"
"hyperweb-kit","hyperwebjs",125,0,3,"2025-04-07"
"@hyperweb/build","hyperwebjs",708,27,164,"2025-04-07"
"@hyperweb/ts-json-schema","hyperwebjs",266,3,15,"2025-04-07"
"interchainjs","interchain-js",24933,3492,11270,"2025-04-07"
"injectivejs","interchain-js",7217,69,503,"2025-04-07"
"@interchainjs/utils","interchain-js",28410,4478,13481,"2025-04-07"
"@interchainjs/types","interchain-js",28666,4412,13381,"2025-04-07"
"@interchainjs/auth","interchain-js",24369,3543,11107,"2025-04-07"
"@interchainjs/cosmos","interchain-js",25770,3583,11523,"2025-04-07"
"@interchainjs/cosmos-msgs","interchain-js",400,13,20,"2025-04-07"
"@interchainjs/cosmos-query","interchain-js",391,9,16,"2025-04-07"
"@interchainjs/ethereum","interchain-js",8624,989,2064,"2025-04-07"
"@interchainjs/injective","interchain-js",9583,1018,2235,"2025-04-07"
"@interchainjs/cosmos-types","interchain-js",29021,4621,12561,"2025-04-07"
"@interchainjs/ethermint","interchain-js",837,33,77,"2025-04-07"
"injective-query","interchain-js",97,4,6,"2025-04-07"
"injective-react","interchain-js",2691,41,447,"2025-04-07"
"injective-vue","interchain-js",2286,6,337,"2025-04-07"
"interchain-react","interchain-js",1059,28,91,"2025-04-07"
"interchain-kit","cosmos-kit",6961,111,1143,"2025-04-07"
"@interchain-kit/core","cosmos-kit",21877,3472,10028,"2025-04-07"
"@interchain-kit/react","cosmos-kit",8012,1154,2341,"2025-04-07"
"@interchain-kit/vue","cosmos-kit",1984,125,290,"2025-04-07"
"cosmos-kit","cosmos-kit",54349,1100,4870,"2025-04-07"
"@cosmos-kit/core","cosmos-kit",709359,9200,37462,"2025-04-07"
"@cosmos-kit/react","cosmos-kit",158602,3509,16353,"2025-04-07"
"@cosmos-kit/react-lite","cosmos-kit",192712,3503,16011,"2025-04-07"
"@cosmos-kit/walletconnect","cosmos-kit",537514,7628,32799,"2025-04-07"
"create-cosmos-app","create-cosmos-app",5526,93,439,"2025-04-07"
"create-interchain-app","create-cosmos-app",1215,7,62,"2025-04-07"
"@interchain-kit/okx-extension","interchain-kit-wallets",13039,2420,7698,"2025-04-07"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4986,203,543,"2025-04-07"
"@interchain-kit/leap-extension","interchain-kit-wallets",13293,2466,7834,"2025-04-07"
"@interchain-kit/ledger","interchain-kit-wallets",5887,212,704,"2025-04-07"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5970,224,752,"2025-04-07"
"@interchain-kit/leap-mobile","interchain-kit-wallets",6064,237,869,"2025-04-07"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5798,239,640,"2025-04-07"
"@interchain-kit/keplr-extension","interchain-kit-wallets",13705,2515,8049,"2025-04-07"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4243,179,600,"2025-04-07"
"@interchain-kit/station-extension","interchain-kit-wallets",4213,179,578,"2025-04-07"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",5205,1036,1583,"2025-04-07"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4290,183,600,"2025-04-07"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",3868,276,1238,"2025-04-07"
"@interchain-kit/trust-extension","interchain-kit-wallets",2939,147,522,"2025-04-07"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",3740,269,1202,"2025-04-07"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1743,122,321,"2025-04-07"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58277,674,2769,"2025-04-07"
"@cosmos-kit/ledger","cosmos-kit-wallets",69977,1393,6093,"2025-04-07"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",46096,860,6090,"2025-04-07"
"@cosmos-kit/fin","cosmos-kit-wallets",63718,1114,6402,"2025-04-07"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",65120,1130,5384,"2025-04-07"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",385171,4774,21459,"2025-04-07"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",348325,5211,22213,"2025-04-07"
"@cosmos-kit/shell","cosmos-kit-wallets",61891,1106,5137,"2025-04-07"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5978,74,344,"2025-04-07"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",451978,6372,26437,"2025-04-07"
"@cosmos-kit/vectis","cosmos-kit-wallets",70051,698,2904,"2025-04-07"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",67919,1118,6324,"2025-04-07"
"@cosmos-kit/ninji","cosmos-kit-wallets",11519,74,524,"2025-04-07"
"@cosmos-kit/station-extension","cosmos-kit-wallets",377331,4181,17973,"2025-04-07"
"@cosmos-kit/coin98","cosmos-kit-wallets",65512,1135,5408,"2025-04-07"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",506707,7189,30987,"2025-04-07"
"@cosmos-kit/exodus","cosmos-kit-wallets",60193,1110,5406,"2025-04-07"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",339419,5155,21836,"2025-04-07"
"@cosmos-kit/leap","cosmos-kit-wallets",486948,7433,31465,"2025-04-07"
"@cosmos-kit/xdefi","cosmos-kit-wallets",373377,4371,18635,"2025-04-07"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25016,335,2446,"2025-04-07"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5966,42,385,"2025-04-07"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",430331,6248,25551,"2025-04-07"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",62403,1104,5187,"2025-04-07"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",426193,6023,24644,"2025-04-07"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",69312,685,2897,"2025-04-07"
"@cosmos-kit/station","cosmos-kit-wallets",376790,4149,17941,"2025-04-07"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",61453,1111,5416,"2025-04-07"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",477827,6533,28591,"2025-04-07"
"@cosmos-kit/initia","cosmos-kit-wallets",5517,34,314,"2025-04-07"
"@cosmos-kit/frontier","cosmos-kit-wallets",57418,675,2892,"2025-04-07"
"@cosmos-kit/trust","cosmos-kit-wallets",347359,5379,22411,"2025-04-07"
"@cosmos-kit/compass","cosmos-kit-wallets",67681,1151,5466,"2025-04-07"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",503029,7185,31442,"2025-04-07"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",524894,7604,32553,"2025-04-07"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",12423,84,576,"2025-04-07"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",72807,1152,5466,"2025-04-07"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",388745,4676,19780,"2025-04-07"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",339602,3704,17133,"2025-04-07"
"@cosmos-kit/omni","cosmos-kit-wallets",68370,1174,5701,"2025-04-07"
"@cosmos-kit/keplr","cosmos-kit-wallets",503256,7826,33107,"2025-04-07"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",70244,1180,5741,"2025-04-07"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",470318,6266,28043,"2025-04-07"
"@cosmwasm/ts-codegen","cosmwasm",1003550,11510,47898,"2025-04-07"
"@cosmwasm/ts-codegen-types","cosmwasm",46147,281,1648,"2025-04-07"
"@cosmwasm/ts-codegen-ast","cosmwasm",46875,292,1751,"2025-04-07"
"wasm-ast-types","cosmwasm",955413,10889,45167,"2025-04-07"
"cosmwasm-typescript-gen","cosmwasm",5517,23,281,"2025-04-07"
"@interchain-ui/react","interchain-ui",168507,5690,18699,"2025-04-07"
"@interchain-ui/vue","interchain-ui",7756,161,472,"2025-04-07"
"@cosmology/telescope","telescope",448126,5755,25691,"2025-04-07"
"@cosmology/lcd","telescope",517506,7804,33518,"2025-04-07"
"@cosmology/ast","telescope",516047,9661,38385,"2025-04-07"
"@cosmology/types","telescope",713329,12838,52159,"2025-04-07"
"@cosmology/utils","telescope",713754,12836,52192,"2025-04-07"
"@cosmology/proto-parser","telescope",712953,12856,52185,"2025-04-07"
"@osmonauts/telescope","telescope",221732,1537,6830,"2025-04-07"
"@osmonauts/lcd","telescope",1033388,26202,111301,"2025-04-07"
"@osmonauts/ast","telescope",220257,1377,6334,"2025-04-07"
"@osmonauts/utils","telescope",210973,1423,6312,"2025-04-07"
"@osmonauts/types","telescope",221573,1220,5828,"2025-04-07"
"@osmonauts/proto-parser","telescope",222405,1281,5992,"2025-04-07"
"@dydxprotocol/v4-client-js","dydx",245272,21807,89045,"2025-04-07"
"stargazejs","stargaze",6676,53,229,"2025-04-07"
"@stargaze-zone/chain","stargaze",801,3,79,"2025-04-07"
"@stargaze-zone/contracts","stargaze",922,2,112,"2025-04-07"
"stargaze-query","stargaze",1591,20,74,"2025-04-07"
"stridejs","stride",20896,109,371,"2025-04-07"
"quicksilverjs","quicksilver",4564,8,194,"2025-04-07"
"juno-network","juno",17616,40,444,"2025-04-07"
"@juno-network/assets","juno",1495,32,123,"2025-04-07"
"@osmonauts/math","osmosis",29340,313,1529,"2025-04-07"
"osmojs","osmosis",323022,3629,15798,"2025-04-07"
"osmo-query","osmosis",22114,577,1655,"2025-04-07"
