"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",653,8,48,"2025-04-11"
"@hyperweb/cli","hyperwebjs",133,7,10,"2025-04-11"
"hyperwebjs","hyperwebjs",1703,132,534,"2025-04-11"
"hyperweb-kit","hyperwebjs",132,7,10,"2025-04-11"
"@hyperweb/build","hyperwebjs",826,127,260,"2025-04-11"
"@hyperweb/ts-json-schema","hyperwebjs",273,7,18,"2025-04-11"
"interchainjs","interchain-js",28159,3924,14431,"2025-04-11"
"injectivejs","interchain-js",7318,190,612,"2025-04-11"
"@interchainjs/utils","interchain-js",32026,4541,16980,"2025-04-11"
"@interchainjs/types","interchain-js",32240,4525,16834,"2025-04-11"
"@interchainjs/auth","interchain-js",27681,4054,14340,"2025-04-11"
"@interchainjs/cosmos","interchain-js",29088,4065,14771,"2025-04-11"
"@interchainjs/cosmos-msgs","interchain-js",400,4,19,"2025-04-11"
"@interchainjs/cosmos-query","interchain-js",391,0,15,"2025-04-11"
"@interchainjs/ethereum","interchain-js",9079,689,2491,"2025-04-11"
"@interchainjs/injective","interchain-js",10005,671,2640,"2025-04-11"
"@interchainjs/cosmos-types","interchain-js",32659,4610,16079,"2025-04-11"
"@interchainjs/ethermint","interchain-js",838,10,51,"2025-04-11"
"injective-query","interchain-js",97,1,5,"2025-04-11"
"injective-react","interchain-js",2808,156,549,"2025-04-11"
"injective-vue","interchain-js",2398,118,439,"2025-04-11"
"interchain-react","interchain-js",1065,21,95,"2025-04-11"
"interchain-kit","cosmos-kit",7398,459,1418,"2025-04-11"
"@interchain-kit/core","cosmos-kit",25088,3937,13067,"2025-04-11"
"@interchain-kit/react","cosmos-kit",9557,1816,3729,"2025-04-11"
"@interchain-kit/vue","cosmos-kit",2105,149,406,"2025-04-11"
"cosmos-kit","cosmos-kit",54671,1050,4897,"2025-04-11"
"@cosmos-kit/core","cosmos-kit",712742,9163,39494,"2025-04-11"
"@cosmos-kit/react","cosmos-kit",161099,4336,18260,"2025-04-11"
"@cosmos-kit/react-lite","cosmos-kit",195313,4402,17945,"2025-04-11"
"@cosmos-kit/walletconnect","cosmos-kit",540608,7168,33591,"2025-04-11"
"create-cosmos-app","create-cosmos-app",5605,103,446,"2025-04-11"
"create-interchain-app","create-cosmos-app",1219,10,50,"2025-04-11"
"@interchain-kit/okx-extension","interchain-kit-wallets",15268,2753,9774,"2025-04-11"
"@interchain-kit/mock-wallet","interchain-kit-wallets",5232,317,671,"2025-04-11"
"@interchain-kit/leap-extension","interchain-kit-wallets",15671,2900,10051,"2025-04-11"
"@interchain-kit/ledger","interchain-kit-wallets",6139,325,819,"2025-04-11"
"@interchain-kit/coin98-extension","interchain-kit-wallets",6409,516,1029,"2025-04-11"
"@interchain-kit/leap-mobile","interchain-kit-wallets",6374,388,1021,"2025-04-11"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",6219,500,918,"2025-04-11"
"@interchain-kit/keplr-extension","interchain-kit-wallets",16169,2992,10357,"2025-04-11"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4626,444,877,"2025-04-11"
"@interchain-kit/station-extension","interchain-kit-wallets",4638,485,893,"2025-04-11"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",6606,1630,2874,"2025-04-11"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4677,449,876,"2025-04-11"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",4309,557,1543,"2025-04-11"
"@interchain-kit/trust-extension","interchain-kit-wallets",3369,471,874,"2025-04-11"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",4132,508,1518,"2025-04-11"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1953,236,486,"2025-04-11"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58420,773,3055,"2025-04-11"
"@cosmos-kit/ledger","cosmos-kit-wallets",70629,1360,6449,"2025-04-11"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",46489,805,6026,"2025-04-11"
"@cosmos-kit/fin","cosmos-kit-wallets",64222,1166,6507,"2025-04-11"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",65641,1243,5694,"2025-04-11"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",387348,4413,21320,"2025-04-11"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",350667,4817,22250,"2025-04-11"
"@cosmos-kit/shell","cosmos-kit-wallets",62333,1141,5370,"2025-04-11"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5993,51,312,"2025-04-11"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",454668,5814,27026,"2025-04-11"
"@cosmos-kit/vectis","cosmos-kit-wallets",70320,978,3367,"2025-04-11"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",68371,1196,6447,"2025-04-11"
"@cosmos-kit/ninji","cosmos-kit-wallets",11681,209,630,"2025-04-11"
"@cosmos-kit/station-extension","cosmos-kit-wallets",379073,3961,17926,"2025-04-11"
"@cosmos-kit/coin98","cosmos-kit-wallets",65999,1215,5685,"2025-04-11"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",509952,6864,31804,"2025-04-11"
"@cosmos-kit/exodus","cosmos-kit-wallets",60824,1268,5763,"2025-04-11"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",341913,4786,22045,"2025-04-11"
"@cosmos-kit/leap","cosmos-kit-wallets",490109,6809,32066,"2025-04-11"
"@cosmos-kit/xdefi","cosmos-kit-wallets",375114,3870,18596,"2025-04-11"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25022,339,2242,"2025-04-11"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5979,46,390,"2025-04-11"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",432696,5498,25750,"2025-04-11"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",62847,1140,5421,"2025-04-11"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",428512,5342,25034,"2025-04-11"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",69454,827,3223,"2025-04-11"
"@cosmos-kit/station","cosmos-kit-wallets",378532,3924,17791,"2025-04-11"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",62053,1238,5747,"2025-04-11"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",480832,6083,29030,"2025-04-11"
"@cosmos-kit/initia","cosmos-kit-wallets",5529,45,321,"2025-04-11"
"@cosmos-kit/frontier","cosmos-kit-wallets",57684,896,3299,"2025-04-11"
"@cosmos-kit/trust","cosmos-kit-wallets",349708,4884,22487,"2025-04-11"
"@cosmos-kit/compass","cosmos-kit-wallets",68081,1235,5753,"2025-04-11"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",506043,6640,31880,"2025-04-11"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",528312,7214,33422,"2025-04-11"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",12584,213,683,"2025-04-11"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",73089,1214,5721,"2025-04-11"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",390512,4060,19823,"2025-04-11"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",341283,3567,16905,"2025-04-11"
"@cosmos-kit/omni","cosmos-kit-wallets",68897,1323,6049,"2025-04-11"
"@cosmos-kit/keplr","cosmos-kit-wallets",506412,7015,33577,"2025-04-11"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",70760,1331,6084,"2025-04-11"
