"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",599,3,29,"2025-03-09"
"@hyperweb/cli","hyperwebjs",122,1,13,"2025-03-09"
"hyperwebjs","hyperwebjs",1147,55,530,"2025-03-09"
"hyperweb-kit","hyperwebjs",122,1,13,"2025-03-09"
"@hyperweb/build","hyperwebjs",545,32,332,"2025-03-09"
"@hyperweb/ts-json-schema","hyperwebjs",252,3,147,"2025-03-09"
"interchainjs","interchain-js",13677,309,2416,"2025-03-09"
"injectivejs","interchain-js",7052,124,948,"2025-03-09"
"@interchainjs/utils","interchain-js",14937,357,3721,"2025-03-09"
"@interchainjs/types","interchain-js",15293,366,3824,"2025-03-09"
"@interchainjs/auth","interchain-js",13271,269,2940,"2025-03-09"
"@interchainjs/cosmos","interchain-js",14254,276,2965,"2025-03-09"
"@interchainjs/cosmos-msgs","interchain-js",380,0,3,"2025-03-09"
"@interchainjs/cosmos-query","interchain-js",375,0,3,"2025-03-09"
"@interchainjs/ethereum","interchain-js",6565,146,1282,"2025-03-09"
"@interchainjs/injective","interchain-js",7352,158,1465,"2025-03-09"
"@interchainjs/cosmos-types","interchain-js",16467,325,3534,"2025-03-09"
"@interchainjs/ethermint","interchain-js",760,2,9,"2025-03-09"
"injective-query","interchain-js",92,1,3,"2025-03-09"
"injective-react","interchain-js",2252,104,781,"2025-03-09"
"injective-vue","interchain-js",1951,84,721,"2025-03-09"
"interchain-react","interchain-js",969,5,42,"2025-03-09"
"interchain-kit","cosmos-kit",5895,198,1001,"2025-03-09"
"@interchain-kit/core","cosmos-kit",11923,143,2129,"2025-03-09"
"@interchain-kit/react","cosmos-kit",5743,130,1044,"2025-03-09"
"@interchain-kit/vue","cosmos-kit",1695,8,301,"2025-03-09"
"cosmos-kit","cosmos-kit",51139,1290,4861,"2025-03-09"
"@cosmos-kit/core","cosmos-kit",704103,9572,36723,"2025-03-09"
"@cosmos-kit/react","cosmos-kit",152199,3349,11808,"2025-03-09"
"@cosmos-kit/react-lite","cosmos-kit",186127,3414,12629,"2025-03-09"
"@cosmos-kit/walletconnect","cosmos-kit",524773,8757,34020,"2025-03-09"
"create-cosmos-app","create-cosmos-app",5716,7,72,"2025-03-09"
"create-interchain-app","create-cosmos-app",1174,7,45,"2025-03-09"
"@interchain-kit/okx-extension","interchain-kit-wallets",5415,102,908,"2025-03-09"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4502,67,750,"2025-03-09"
"@interchain-kit/leap-extension","interchain-kit-wallets",5533,137,1070,"2025-03-09"
"@interchain-kit/ledger","interchain-kit-wallets",5249,96,870,"2025-03-09"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5294,100,892,"2025-03-09"
