"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",605,8,32,"2025-03-14"
"@hyperweb/cli","hyperwebjs",123,2,13,"2025-03-14"
"hyperwebjs","hyperwebjs",1171,39,487,"2025-03-14"
"hyperweb-kit","hyperwebjs",122,0,12,"2025-03-14"
"@hyperweb/build","hyperwebjs",569,33,292,"2025-03-14"
"@hyperweb/ts-json-schema","hyperwebjs",258,8,95,"2025-03-14"
"interchainjs","interchain-js",13794,233,1758,"2025-03-14"
"injectivejs","interchain-js",7003,30,845,"2025-03-14"
"@interchainjs/utils","interchain-js",15155,259,2797,"2025-03-14"
"@interchainjs/types","interchain-js",15518,267,2854,"2025-03-14"
"@interchainjs/auth","interchain-js",13452,227,2112,"2025-03-14"
"@interchainjs/cosmos","interchain-js",14426,218,2077,"2025-03-14"
"@interchainjs/cosmos-msgs","interchain-js",381,1,3,"2025-03-14"
"@interchainjs/cosmos-query","interchain-js",376,1,3,"2025-03-14"
"@interchainjs/ethereum","interchain-js",6621,67,918,"2025-03-14"
"@interchainjs/injective","interchain-js",7395,54,966,"2025-03-14"
"@interchainjs/cosmos-types","interchain-js",16693,268,2541,"2025-03-14"
"@interchainjs/ethermint","interchain-js",788,28,35,"2025-03-14"
"injective-query","interchain-js",92,1,2,"2025-03-14"
"injective-react","interchain-js",2263,20,714,"2025-03-14"
"injective-vue","interchain-js",1960,12,654,"2025-03-14"
"interchain-react","interchain-js",970,3,35,"2025-03-14"
"interchain-kit","cosmos-kit",5989,263,836,"2025-03-14"
"@interchain-kit/core","cosmos-kit",12079,263,1387,"2025-03-14"
"@interchain-kit/react","cosmos-kit",5877,234,833,"2025-03-14"
"@interchain-kit/vue","cosmos-kit",1716,23,146,"2025-03-14"
"cosmos-kit","cosmos-kit",51694,1114,4929,"2025-03-14"
"@cosmos-kit/core","cosmos-kit",703917,6618,35929,"2025-03-14"
"@cosmos-kit/react","cosmos-kit",152677,2476,12057,"2025-03-14"
"@cosmos-kit/react-lite","cosmos-kit",186602,2673,12983,"2025-03-14"
"@cosmos-kit/walletconnect","cosmos-kit",526026,6267,33493,"2025-03-14"
"create-cosmos-app","create-cosmos-app",5790,85,151,"2025-03-14"
"create-interchain-app","create-cosmos-app",1190,23,53,"2025-03-14"
"@interchain-kit/okx-extension","interchain-kit-wallets",5525,190,694,"2025-03-14"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4583,142,476,"2025-03-14"
"@interchain-kit/leap-extension","interchain-kit-wallets",5666,232,810,"2025-03-14"
"@interchain-kit/ledger","interchain-kit-wallets",5353,175,644,"2025-03-14"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5414,200,678,"2025-03-14"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5386,193,659,"2025-03-14"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5336,181,681,"2025-03-14"
"@interchain-kit/keplr-extension","interchain-kit-wallets",5860,233,826,"2025-03-14"
"@interchain-kit/frontier-extension","interchain-kit-wallets",3781,140,555,"2025-03-14"
"@interchain-kit/station-extension","interchain-kit-wallets",3777,145,551,"2025-03-14"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",3765,149,547,"2025-03-14"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",3835,148,568,"2025-03-14"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",2798,171,534,"2025-03-14"
"@interchain-kit/trust-extension","interchain-kit-wallets",2528,116,482,"2025-03-14"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",2646,109,580,"2025-03-14"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1486,65,246,"2025-03-14"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58906,600,2260,"2025-03-14"
"@cosmos-kit/ledger","cosmos-kit-wallets",66995,1214,5526,"2025-03-14"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",41768,1313,6123,"2025-03-14"
"@cosmos-kit/fin","cosmos-kit-wallets",60547,1389,6808,"2025-03-14"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",63164,1162,5105,"2025-03-14"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",372114,4430,24887,"2025-03-14"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",333224,4339,23464,"2025-03-14"
"@cosmos-kit/shell","cosmos-kit-wallets",59670,1108,4864,"2025-03-14"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5689,81,193,"2025-03-14"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",439853,4821,26175,"2025-03-14"
"@cosmos-kit/vectis","cosmos-kit-wallets",71724,666,2521,"2025-03-14"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",65261,1478,6836,"2025-03-14"
"@cosmos-kit/ninji","cosmos-kit-wallets",11095,136,443,"2025-03-14"
"@cosmos-kit/station-extension","cosmos-kit-wallets",365292,3653,20438,"2025-03-14"
"@cosmos-kit/coin98","cosmos-kit-wallets",63523,1168,5120,"2025-03-14"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",491849,5815,30615,"2025-03-14"
"@cosmos-kit/exodus","cosmos-kit-wallets",57580,955,4583,"2025-03-14"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",323696,3997,23243,"2025-03-14"
"@cosmos-kit/leap","cosmos-kit-wallets",471439,5867,30305,"2025-03-14"
"@cosmos-kit/xdefi","cosmos-kit-wallets",363096,3610,20752,"2025-03-14"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25269,645,2749,"2025-03-14"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5594,13,134,"2025-03-14"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",419239,4791,25330,"2025-03-14"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",60173,1114,4892,"2025-03-14"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",414971,4492,24845,"2025-03-14"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",70755,648,2461,"2025-03-14"
"@cosmos-kit/station","cosmos-kit-wallets",364843,3713,20350,"2025-03-14"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",58857,1039,4933,"2025-03-14"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",462742,5527,29315,"2025-03-14"
"@cosmos-kit/initia","cosmos-kit-wallets",5213,10,44,"2025-03-14"
"@cosmos-kit/frontier","cosmos-kit-wallets",57870,597,2255,"2025-03-14"
"@cosmos-kit/trust","cosmos-kit-wallets",332248,4318,23369,"2025-03-14"
"@cosmos-kit/compass","cosmos-kit-wallets",65696,1197,5227,"2025-03-14"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",487538,5940,31609,"2025-03-14"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",509066,6038,32163,"2025-03-14"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",11941,132,461,"2025-03-14"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",71143,1098,5439,"2025-03-14"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",379299,3699,21237,"2025-03-14"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",329689,3569,20526,"2025-03-14"
"@cosmos-kit/omni","cosmos-kit-wallets",67126,1120,5415,"2025-03-14"
"@cosmos-kit/keplr","cosmos-kit-wallets",487517,6132,31738,"2025-03-14"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",69038,1259,5398,"2025-03-14"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",449340,5472,28765,"2025-03-14"
"@cosmwasm/ts-codegen","cosmwasm",993603,9199,48330,"2025-03-14"
"@cosmwasm/ts-codegen-types","cosmwasm",44756,312,1579,"2025-03-14"
"@cosmwasm/ts-codegen-ast","cosmwasm",45387,318,1626,"2025-03-14"
"wasm-ast-types","cosmwasm",946236,8740,46370,"2025-03-14"
"cosmwasm-typescript-gen","cosmwasm",5790,61,328,"2025-03-14"
"@interchain-ui/react","interchain-ui",155051,2475,12045,"2025-03-14"
"@interchain-ui/vue","interchain-ui",7425,2,28,"2025-03-14"
"@cosmology/telescope","telescope",430514,5511,28709,"2025-03-14"
"@cosmology/lcd","telescope",493059,7215,45468,"2025-03-14"
"@cosmology/ast","telescope",487339,7532,40923,"2025-03-14"
"@cosmology/types","telescope",673022,10575,58518,"2025-03-14"
"@cosmology/utils","telescope",673401,10559,58501,"2025-03-14"
"@cosmology/proto-parser","telescope",672529,10530,58548,"2025-03-14"
"@osmonauts/telescope","telescope",241713,1057,4971,"2025-03-14"
"@osmonauts/lcd","telescope",985844,22448,88808,"2025-03-14"
"@osmonauts/ast","telescope",239710,1069,4883,"2025-03-14"
"@osmonauts/utils","telescope",228138,1056,4423,"2025-03-14"
"@osmonauts/types","telescope",243353,1063,4565,"2025-03-14"
"@osmonauts/proto-parser","telescope",244385,1067,4597,"2025-03-14"
"@dydxprotocol/v4-client-js","dydx",171830,17215,57081,"2025-03-14"
"stargazejs","stargaze",7070,6,50,"2025-03-14"
"@stargaze-zone/chain","stargaze",944,0,4,"2025-03-14"
"@stargaze-zone/contracts","stargaze",1100,22,24,"2025-03-14"
"stargaze-query","stargaze",1590,2,21,"2025-03-14"
"stridejs","stride",21225,87,512,"2025-03-14"
"quicksilverjs","quicksilver",4479,43,52,"2025-03-14"
"juno-network","juno",18014,192,736,"2025-03-14"
"@juno-network/assets","juno",1855,1,5,"2025-03-14"
"@osmonauts/math","osmosis",29854,366,1755,"2025-03-14"
"osmojs","osmosis",322125,3366,16016,"2025-03-14"
"osmo-query","osmosis",20795,297,1187,"2025-03-14"
"@chain-registry/client","chain-registry",609253,9668,51568,"2025-03-14"
"@chain-registry/types","chain-registry",2280089,30966,171856,"2025-03-14"
"@chain-registry/keplr","chain-registry",998989,12537,65853,"2025-03-14"
"@chain-registry/cosmostation","chain-registry",809172,9562,51512,"2025-03-14"
"@chain-registry/osmosis","chain-registry",86475,1296,4947,"2025-03-14"
"@chain-registry/juno","chain-registry",39449,617,3204,"2025-03-14"
"@chain-registry/assets","chain-registry",61359,1193,5893,"2025-03-14"
"@chain-registry/utils","chain-registry",784597,10980,68951,"2025-03-14"
"chain-registry","chain-registry",989207,12350,70047,"2025-03-14"
"cosmjs-utils","cosmology",20528,227,941,"2025-03-14"
"@cosmology/cli","cosmology",7614,2,142,"2025-03-14"
"@cosmology/core","cosmology",18484,41,532,"2025-03-14"
"cosmology","cosmology",6831,3,352,"2025-03-14"
