"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",653,8,48,"2025-04-12"
"@hyperweb/cli","hyperwebjs",133,7,10,"2025-04-12"
"hyperwebjs","hyperwebjs",1712,139,541,"2025-04-12"
"hyperweb-kit","hyperwebjs",132,7,10,"2025-04-12"
"@hyperweb/build","hyperwebjs",832,131,263,"2025-04-12"
"@hyperweb/ts-json-schema","hyperwebjs",274,8,16,"2025-04-12"
"interchainjs","interchain-js",28784,4045,14992,"2025-04-12"
"injectivejs","interchain-js",7334,201,624,"2025-04-12"
"@interchainjs/utils","interchain-js",32703,4609,17548,"2025-04-12"
"@interchainjs/types","interchain-js",32900,4583,17382,"2025-04-12"
"@interchainjs/auth","interchain-js",28311,4187,14859,"2025-04-12"
"@interchainjs/cosmos","interchain-js",29715,4195,15289,"2025-04-12"
"@interchainjs/cosmos-msgs","interchain-js",400,2,19,"2025-04-12"
"@interchainjs/cosmos-query","interchain-js",391,0,15,"2025-04-12"
"@interchainjs/ethereum","interchain-js",9123,618,2502,"2025-04-12"
"@interchainjs/injective","interchain-js",10047,600,2652,"2025-04-12"
"@interchainjs/cosmos-types","interchain-js",33309,4648,16616,"2025-04-12"
"@interchainjs/ethermint","interchain-js",839,10,51,"2025-04-12"
"injective-query","interchain-js",97,0,5,"2025-04-12"
"injective-react","interchain-js",2822,167,559,"2025-04-12"
"injective-vue","interchain-js",2409,128,449,"2025-04-12"
"interchain-react","interchain-js",1065,20,95,"2025-04-12"
"interchain-kit","cosmos-kit",7510,562,1524,"2025-04-12"
"@interchain-kit/core","cosmos-kit",25786,4168,13707,"2025-04-12"
"@interchain-kit/react","cosmos-kit",9783,1920,3906,"2025-04-12"
"@interchain-kit/vue","cosmos-kit",2148,189,432,"2025-04-12"
"cosmos-kit","cosmos-kit",54740,1061,4807,"2025-04-12"
"@cosmos-kit/core","cosmos-kit",713496,9107,39660,"2025-04-12"
"@cosmos-kit/react","cosmos-kit",161324,4068,17970,"2025-04-12"
"@cosmos-kit/react-lite","cosmos-kit",195569,4246,17663,"2025-04-12"
"@cosmos-kit/walletconnect","cosmos-kit",541252,7053,33335,"2025-04-12"
"create-cosmos-app","create-cosmos-app",5610,105,452,"2025-04-12"
"create-interchain-app","create-cosmos-app",1220,10,50,"2025-04-12"
"@interchain-kit/okx-extension","interchain-kit-wallets",15826,2965,10301,"2025-04-12"
"@interchain-kit/mock-wallet","interchain-kit-wallets",5284,366,701,"2025-04-12"
"@interchain-kit/leap-extension","interchain-kit-wallets",16206,3091,10540,"2025-04-12"
"@interchain-kit/ledger","interchain-kit-wallets",6191,376,838,"2025-04-12"
"@interchain-kit/coin98-extension","interchain-kit-wallets",6521,626,1107,"2025-04-12"
"@interchain-kit/leap-mobile","interchain-kit-wallets",6432,442,1046,"2025-04-12"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",6345,623,1009,"2025-04-12"
"@interchain-kit/keplr-extension","interchain-kit-wallets",16753,3229,10893,"2025-04-12"
