"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",653,7,48,"2025-04-14"
"@hyperweb/cli","hyperwebjs",133,7,10,"2025-04-14"
"hyperwebjs","hyperwebjs",1728,151,466,"2025-04-14"
"hyperweb-kit","hyperwebjs",132,7,10,"2025-04-14"
"@hyperweb/build","hyperwebjs",844,136,261,"2025-04-14"
"@hyperweb/ts-json-schema","hyperwebjs",274,8,16,"2025-04-14"
"interchainjs","interchain-js",29541,4608,15430,"2025-04-14"
"injectivejs","interchain-js",7340,158,530,"2025-04-14"
"@interchainjs/utils","interchain-js",33552,5142,18033,"2025-04-14"
"@interchainjs/types","interchain-js",33730,5064,17848,"2025-04-14"
"@interchainjs/auth","interchain-js",29048,4679,15279,"2025-04-14"
"@interchainjs/cosmos","interchain-js",30449,4679,15709,"2025-04-14"
"@interchainjs/cosmos-msgs","interchain-js",402,2,21,"2025-04-14"
"@interchainjs/cosmos-query","interchain-js",394,3,18,"2025-04-14"
"@interchainjs/ethereum","interchain-js",9168,544,2429,"2025-04-14"
"@interchainjs/injective","interchain-js",10088,505,2541,"2025-04-14"
"@interchainjs/cosmos-types","interchain-js",34178,5157,17117,"2025-04-14"
"@interchainjs/ethermint","interchain-js",845,8,57,"2025-04-14"
"injective-query","interchain-js",98,1,6,"2025-04-14"
"injective-react","interchain-js",2829,138,459,"2025-04-14"
"injective-vue","interchain-js",2414,128,353,"2025-04-14"
"interchain-react","interchain-js",1066,7,91,"2025-04-14"
"interchain-kit","cosmos-kit",7626,668,1560,"2025-04-14"
"@interchain-kit/core","cosmos-kit",26465,4588,14298,"2025-04-14"
"@interchain-kit/react","cosmos-kit",9929,1917,3999,"2025-04-14"
"@interchain-kit/vue","cosmos-kit",2213,229,494,"2025-04-14"
"cosmos-kit","cosmos-kit",54801,896,4420,"2025-04-14"
"@cosmos-kit/core","cosmos-kit",713565,8906,37875,"2025-04-14"
"@cosmos-kit/react","cosmos-kit",161440,4018,16795,"2025-04-14"
"@cosmos-kit/react-lite","cosmos-kit",195524,4294,16538,"2025-04-14"
"@cosmos-kit/walletconnect","cosmos-kit",541811,6930,31753,"2025-04-14"
"create-cosmos-app","create-cosmos-app",5609,100,451,"2025-04-14"
"create-interchain-app","create-cosmos-app",1220,6,45,"2025-04-14"
"@interchain-kit/okx-extension","interchain-kit-wallets",16201,3162,10674,"2025-04-14"
"@interchain-kit/mock-wallet","interchain-kit-wallets",5354,368,764,"2025-04-14"
"@interchain-kit/leap-extension","interchain-kit-wallets",16681,3388,10983,"2025-04-14"
"@interchain-kit/ledger","interchain-kit-wallets",6262,375,905,"2025-04-14"
"@interchain-kit/coin98-extension","interchain-kit-wallets",6620,650,1204,"2025-04-14"
"@interchain-kit/leap-mobile","interchain-kit-wallets",6513,449,1111,"2025-04-14"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",6426,628,1075,"2025-04-14"
"@interchain-kit/keplr-extension","interchain-kit-wallets",17202,3497,11309,"2025-04-14"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4822,579,1040,"2025-04-14"
"@interchain-kit/station-extension","interchain-kit-wallets",4843,630,1065,"2025-04-14"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",6920,1715,3154,"2025-04-14"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4880,590,1043,"2025-04-14"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",4516,648,1715,"2025-04-14"
"@interchain-kit/trust-extension","interchain-kit-wallets",3566,627,1037,"2025-04-14"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",4367,627,1717,"2025-04-14"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",2077,334,589,"2025-04-14"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58548,751,2857,"2025-04-14"
