"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",646,20,49,"2025-04-06"
"@hyperweb/cli","hyperwebjs",126,1,5,"2025-04-06"
"hyperwebjs","hyperwebjs",1575,31,443,"2025-04-06"
"hyperweb-kit","hyperwebjs",125,0,3,"2025-04-06"
"@hyperweb/build","hyperwebjs",706,34,170,"2025-04-06"
"@hyperweb/ts-json-schema","hyperwebjs",266,3,16,"2025-04-06"
"interchainjs","interchain-js",24840,3683,11281,"2025-04-06"
"injectivejs","interchain-js",7172,22,457,"2025-04-06"
"@interchainjs/utils","interchain-js",28269,4631,13373,"2025-04-06"
"@interchainjs/types","interchain-js",28528,4561,13277,"2025-04-06"
"@interchainjs/auth","interchain-js",24274,3743,11049,"2025-04-06"
"@interchainjs/cosmos","interchain-js",25675,3785,11467,"2025-04-06"
"@interchainjs/cosmos-msgs","interchain-js",400,16,20,"2025-04-06"
"@interchainjs/cosmos-query","interchain-js",391,12,16,"2025-04-06"
"@interchainjs/ethereum","interchain-js",8581,966,2027,"2025-04-06"
"@interchainjs/injective","interchain-js",9540,1050,2199,"2025-04-06"
"@interchainjs/cosmos-types","interchain-js",28881,4776,12456,"2025-04-06"
"@interchainjs/ethermint","interchain-js",837,41,77,"2025-04-06"
"injective-query","interchain-js",97,4,6,"2025-04-06"
"injective-react","interchain-js",2657,7,414,"2025-04-06"
"injective-vue","interchain-js",2285,6,337,"2025-04-06"
"interchain-react","interchain-js",1046,15,79,"2025-04-06"
"interchain-kit","cosmos-kit",6958,108,1234,"2025-04-06"
"@interchain-kit/core","cosmos-kit",21785,3649,9969,"2025-04-06"
"@interchain-kit/react","cosmos-kit",7965,1115,2322,"2025-04-06"
"@interchain-kit/vue","cosmos-kit",1984,149,291,"2025-04-06"
"cosmos-kit","cosmos-kit",54322,1000,4939,"2025-04-06"
"@cosmos-kit/core","cosmos-kit",710032,9413,38095,"2025-04-06"
"@cosmos-kit/react","cosmos-kit",159156,3732,16781,"2025-04-06"
"@cosmos-kit/react-lite","cosmos-kit",193079,3640,16391,"2025-04-06"
"@cosmos-kit/walletconnect","cosmos-kit",537516,7815,33360,"2025-04-06"
"create-cosmos-app","create-cosmos-app",5590,91,436,"2025-04-06"
"create-interchain-app","create-cosmos-app",1215,5,65,"2025-04-06"
"@interchain-kit/okx-extension","interchain-kit-wallets",12994,2638,7659,"2025-04-06"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4985,202,544,"2025-04-06"
"@interchain-kit/leap-extension","interchain-kit-wallets",13246,2682,7812,"2025-04-06"
"@interchain-kit/ledger","interchain-kit-wallets",5883,208,705,"2025-04-06"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5970,224,756,"2025-04-06"
"@interchain-kit/leap-mobile","interchain-kit-wallets",6063,236,870,"2025-04-06"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5796,237,641,"2025-04-06"
"@interchain-kit/keplr-extension","interchain-kit-wallets",13657,2730,8030,"2025-04-06"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4241,177,600,"2025-04-06"
"@interchain-kit/station-extension","interchain-kit-wallets",4210,176,578,"2025-04-06"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",5161,998,1545,"2025-04-06"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4289,182,602,"2025-04-06"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",3830,275,1203,"2025-04-06"
"@interchain-kit/trust-extension","interchain-kit-wallets",2939,148,527,"2025-04-06"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",3702,268,1165,"2025-04-06"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1741,141,320,"2025-04-06"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58613,670,3026,"2025-04-06"
"@cosmos-kit/ledger","cosmos-kit-wallets",70135,1403,6335,"2025-04-06"
