"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",645,19,48,"2025-04-05"
"@hyperweb/cli","hyperwebjs",126,1,5,"2025-04-05"
"hyperwebjs","hyperwebjs",1573,36,451,"2025-04-05"
"hyperweb-kit","hyperwebjs",125,0,3,"2025-04-05"
"@hyperweb/build","hyperwebjs",701,31,173,"2025-04-05"
"@hyperweb/ts-json-schema","hyperwebjs",266,3,17,"2025-04-05"
"interchainjs","interchain-js",24739,3607,11186,"2025-04-05"
"injectivejs","interchain-js",7175,28,462,"2025-04-05"
"@interchainjs/utils","interchain-js",28094,4486,13204,"2025-04-05"
"@interchainjs/types","interchain-js",28317,4376,13074,"2025-04-05"
"@interchainjs/auth","interchain-js",24124,3619,10904,"2025-04-05"
"@interchainjs/cosmos","interchain-js",25520,3659,11319,"2025-04-05"
"@interchainjs/cosmos-msgs","interchain-js",398,14,18,"2025-04-05"
"@interchainjs/cosmos-query","interchain-js",391,12,16,"2025-04-05"
"@interchainjs/ethereum","interchain-js",8505,902,1956,"2025-04-05"
"@interchainjs/injective","interchain-js",9447,968,2111,"2025-04-05"
"@interchainjs/cosmos-types","interchain-js",28661,4586,12240,"2025-04-05"
"@interchainjs/ethermint","interchain-js",829,33,69,"2025-04-05"
"injective-query","interchain-js",97,4,6,"2025-04-05"
"injective-react","interchain-js",2655,72,415,"2025-04-05"
"injective-vue","interchain-js",2281,39,335,"2025-04-05"
"interchain-react","interchain-js",1045,14,78,"2025-04-05"
"interchain-kit","cosmos-kit",6949,105,1231,"2025-04-05"
"@interchain-kit/core","cosmos-kit",21618,3501,9804,"2025-04-05"
"@interchain-kit/react","cosmos-kit",7863,1018,2223,"2025-04-05"
"@interchain-kit/vue","cosmos-kit",1959,126,267,"2025-04-05"
"cosmos-kit","cosmos-kit",54373,1007,5112,"2025-04-05"
"@cosmos-kit/core","cosmos-kit",710246,9172,38783,"2025-04-05"
"@cosmos-kit/react","cosmos-kit",159251,3467,17088,"2025-04-05"
"@cosmos-kit/react-lite","cosmos-kit",193166,3481,16752,"2025-04-05"
"@cosmos-kit/walletconnect","cosmos-kit",537357,7612,34011,"2025-04-05"
"create-cosmos-app","create-cosmos-app",5651,87,434,"2025-04-05"
"create-interchain-app","create-cosmos-app",1215,3,64,"2025-04-05"
"@interchain-kit/okx-extension","interchain-kit-wallets",12861,2507,7528,"2025-04-05"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4918,141,482,"2025-04-05"
"@interchain-kit/leap-extension","interchain-kit-wallets",13115,2554,7687,"2025-04-05"
"@interchain-kit/ledger","interchain-kit-wallets",5815,143,642,"2025-04-05"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5895,151,685,"2025-04-05"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5990,165,801,"2025-04-05"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5722,166,567,"2025-04-05"
"@interchain-kit/keplr-extension","interchain-kit-wallets",13524,2600,7901,"2025-04-05"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4189,126,552,"2025-04-05"
"@interchain-kit/station-extension","interchain-kit-wallets",4156,123,525,"2025-04-05"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",5085,922,1470,"2025-04-05"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4235,129,549,"2025-04-05"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",3829,315,1202,"2025-04-05"
"@interchain-kit/trust-extension","interchain-kit-wallets",2901,110,491,"2025-04-05"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",3700,305,1164,"2025-04-05"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1717,119,297,"2025-04-05"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58826,663,3023,"2025-04-05"
"@cosmos-kit/ledger","cosmos-kit-wallets",70252,1406,6448,"2025-04-05"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",46159,916,6613,"2025-04-05"
"@cosmos-kit/fin","cosmos-kit-wallets",63959,1206,6843,"2025-04-05"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",65460,1140,5728,"2025-04-05"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",384311,4795,22258,"2025-04-05"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",347720,5069,22796,"2025-04-05"
"@cosmos-kit/shell","cosmos-kit-wallets",62131,1192,5428,"2025-04-05"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5974,74,367,"2025-04-05"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",451846,6395,27264,"2025-04-05"
"@cosmos-kit/vectis","cosmos-kit-wallets",70749,685,3212,"2025-04-05"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",68152,1201,6763,"2025-04-05"
"@cosmos-kit/ninji","cosmos-kit-wallets",11515,74,558,"2025-04-05"
"@cosmos-kit/station-extension","cosmos-kit-wallets",376751,4104,18430,"2025-04-05"
"@cosmos-kit/coin98","cosmos-kit-wallets",65852,1144,5752,"2025-04-05"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",506313,7170,31986,"2025-04-05"
"@cosmos-kit/exodus","cosmos-kit-wallets",60451,1128,5544,"2025-04-05"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",338778,5022,22115,"2025-04-05"
"@cosmos-kit/leap","cosmos-kit-wallets",486520,7395,32388,"2025-04-05"
"@cosmos-kit/xdefi","cosmos-kit-wallets",372779,4545,19168,"2025-04-05"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25433,444,2649,"2025-04-05"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5965,109,402,"2025-04-05"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",430268,6249,26317,"2025-04-05"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",62649,1114,5486,"2025-04-05"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",426010,6026,25382,"2025-04-05"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",69967,679,3189,"2025-04-05"
"@cosmos-kit/station","cosmos-kit-wallets",376214,4079,18382,"2025-04-05"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",61694,1132,5734,"2025-04-05"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",477148,6501,29504,"2025-04-05"
"@cosmos-kit/initia","cosmos-kit-wallets",5514,95,315,"2025-04-05"
"@cosmos-kit/frontier","cosmos-kit-wallets",57962,660,3140,"2025-04-05"
"@cosmos-kit/trust","cosmos-kit-wallets",347056,5386,23138,"2025-04-05"
"@cosmos-kit/compass","cosmos-kit-wallets",68010,1160,5800,"2025-04-05"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",502531,7161,32510,"2025-04-05"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",524494,7579,33488,"2025-04-05"
