"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",657,4,49,"2025-04-19"
"@hyperweb/cli","hyperwebjs",136,3,11,"2025-04-19"
"hyperwebjs","hyperwebjs",1807,95,461,"2025-04-19"
"hyperweb-kit","hyperwebjs",133,1,10,"2025-04-19"
"@hyperweb/build","hyperwebjs",910,78,310,"2025-04-19"
"@hyperweb/ts-json-schema","hyperwebjs",280,6,18,"2025-04-19"
"interchainjs","interchain-js",32539,3755,17121,"2025-04-19"
"injectivejs","interchain-js",7393,137,610,"2025-04-19"
"@interchainjs/utils","interchain-js",36842,4139,19297,"2025-04-19"
"@interchainjs/types","interchain-js",37009,4109,19057,"2025-04-19"
"@interchainjs/auth","interchain-js",32162,3851,17148,"2025-04-19"
"@interchainjs/cosmos","interchain-js",33589,3874,17414,"2025-04-19"
"@interchainjs/cosmos-msgs","interchain-js",404,4,20,"2025-04-19"
"@interchainjs/cosmos-query","interchain-js",394,3,15,"2025-04-19"
"@interchainjs/ethereum","interchain-js",9364,241,2298,"2025-04-19"
"@interchainjs/injective","interchain-js",10333,286,2480,"2025-04-19"
"@interchainjs/cosmos-types","interchain-js",37299,3990,18975,"2025-04-19"
"@interchainjs/ethermint","interchain-js",852,13,56,"2025-04-19"
"injective-query","interchain-js",100,3,8,"2025-04-19"
"injective-react","interchain-js",2937,115,518,"2025-04-19"
"injective-vue","interchain-js",2559,150,457,"2025-04-19"
"interchain-react","interchain-js",1068,3,77,"2025-04-19"
"interchain-kit","cosmos-kit",7983,475,1672,"2025-04-19"
"@interchain-kit/core","cosmos-kit",28463,2677,15209,"2025-04-19"
"@interchain-kit/react","cosmos-kit",10522,739,4260,"2025-04-19"
"@interchain-kit/vue","cosmos-kit",2312,164,502,"2025-04-19"
"cosmos-kit","cosmos-kit",55347,943,4504,"2025-04-19"
"@cosmos-kit/core","cosmos-kit",717115,8124,37663,"2025-04-19"
"@cosmos-kit/react","cosmos-kit",164213,4268,17323,"2025-04-19"
"@cosmos-kit/react-lite","cosmos-kit",198200,4308,17294,"2025-04-19"
"@cosmos-kit/walletconnect","cosmos-kit",544911,6476,30768,"2025-04-19"
"create-cosmos-app","create-cosmos-app",5615,89,519,"2025-04-19"
"create-interchain-app","create-cosmos-app",1241,21,50,"2025-04-19"
"@interchain-kit/okx-extension","interchain-kit-wallets",17751,1925,11281,"2025-04-19"
"@interchain-kit/mock-wallet","interchain-kit-wallets",5483,199,792,"2025-04-19"
"@interchain-kit/leap-extension","interchain-kit-wallets",18228,2022,11615,"2025-04-19"
"@interchain-kit/ledger","interchain-kit-wallets",6462,271,925,"2025-04-19"
"@interchain-kit/coin98-extension","interchain-kit-wallets",6943,422,1349,"2025-04-19"
"@interchain-kit/leap-mobile","interchain-kit-wallets",6711,279,1126,"2025-04-19"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",6786,441,1323,"2025-04-19"
"@interchain-kit/keplr-extension","interchain-kit-wallets",18862,2109,11974,"2025-04-19"
"@interchain-kit/frontier-extension","interchain-kit-wallets",5125,380,1205,"2025-04-19"
"@interchain-kit/station-extension","interchain-kit-wallets",5119,361,1208,"2025-04-19"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",7429,595,3528,"2025-04-19"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",5211,430,1237,"2025-04-19"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",4790,352,1876,"2025-04-19"
"@interchain-kit/trust-extension","interchain-kit-wallets",3837,366,1199,"2025-04-19"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",4649,405,1858,"2025-04-19"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",2192,195,620,"2025-04-19"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58544,660,2886,"2025-04-19"
"@cosmos-kit/ledger","cosmos-kit-wallets",71795,1385,6034,"2025-04-19"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",47027,651,4714,"2025-04-19"
"@cosmos-kit/fin","cosmos-kit-wallets",64929,1009,5164,"2025-04-19"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",66322,1022,5033,"2025-04-19"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",390628,3728,18888,"2025-04-19"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",354946,3977,20328,"2025-04-19"
"@cosmos-kit/shell","cosmos-kit-wallets",62982,983,4867,"2025-04-19"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",6057,57,280,"2025-04-19"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",458422,5034,25132,"2025-04-19"
"@cosmos-kit/vectis","cosmos-kit-wallets",70451,533,3119,"2025-04-19"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",68966,1022,5122,"2025-04-19"
"@cosmos-kit/ninji","cosmos-kit-wallets",11893,177,709,"2025-04-19"
"@cosmos-kit/station-extension","cosmos-kit-wallets",382331,3338,16297,"2025-04-19"
"@cosmos-kit/coin98","cosmos-kit-wallets",66676,1026,5014,"2025-04-19"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",514696,5979,29056,"2025-04-19"
"@cosmos-kit/exodus","cosmos-kit-wallets",61708,1055,5145,"2025-04-19"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",346444,3894,20086,"2025-04-19"
"@cosmos-kit/leap","cosmos-kit-wallets",495282,6040,29276,"2025-04-19"
"@cosmos-kit/xdefi","cosmos-kit-wallets",377716,3322,17131,"2025-04-19"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25160,345,1843,"2025-04-19"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",6048,65,348,"2025-04-19"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",436457,4882,24055,"2025-04-19"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",63523,987,4832,"2025-04-19"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",432231,4722,23481,"2025-04-19"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",69673,678,2998,"2025-04-19"
"@cosmos-kit/station","cosmos-kit-wallets",381701,3248,16108,"2025-04-19"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",62879,1003,5157,"2025-04-19"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",485420,5544,26453,"2025-04-19"
"@cosmos-kit/initia","cosmos-kit-wallets",5595,62,314,"2025-04-19"
"@cosmos-kit/frontier","cosmos-kit-wallets",57786,679,3156,"2025-04-19"
"@cosmos-kit/trust","cosmos-kit-wallets",353983,3952,20518,"2025-04-19"
"@cosmos-kit/compass","cosmos-kit-wallets",68670,1031,5099,"2025-04-19"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",510809,6021,28871,"2025-04-19"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",532933,6178,30389,"2025-04-19"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",12811,191,780,"2025-04-19"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",73524,1028,5070,"2025-04-19"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",393071,3603,18415,"2025-04-19"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",343775,2962,14893,"2025-04-19"
"@cosmos-kit/omni","cosmos-kit-wallets",69687,1222,5438,"2025-04-19"
"@cosmos-kit/keplr","cosmos-kit-wallets",511402,6240,30452,"2025-04-19"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",71560,1241,5470,"2025-04-19"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",478321,5339,25739,"2025-04-19"
"@cosmwasm/ts-codegen","cosmwasm",1009817,11307,48379,"2025-04-19"
