"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",645,19,48,"2025-04-04"
"@hyperweb/cli","hyperwebjs",126,1,5,"2025-04-04"
"hyperwebjs","hyperwebjs",1571,123,461,"2025-04-04"
"hyperweb-kit","hyperwebjs",125,0,3,"2025-04-04"
"@hyperweb/build","hyperwebjs",699,36,182,"2025-04-04"
"@hyperweb/ts-json-schema","hyperwebjs",266,3,17,"2025-04-04"
"interchainjs","interchain-js",24235,3450,10688,"2025-04-04"
"injectivejs","interchain-js",7177,31,461,"2025-04-04"
"@interchainjs/utils","interchain-js",27485,4271,12601,"2025-04-04"
"@interchainjs/types","interchain-js",27715,4166,12478,"2025-04-04"
"@interchainjs/auth","interchain-js",23627,3501,10415,"2025-04-04"
"@interchainjs/cosmos","interchain-js",25023,3541,10829,"2025-04-04"
"@interchainjs/cosmos-msgs","interchain-js",396,12,16,"2025-04-04"
"@interchainjs/cosmos-query","interchain-js",391,12,16,"2025-04-04"
"@interchainjs/ethereum","interchain-js",8390,843,1846,"2025-04-04"
"@interchainjs/injective","interchain-js",9334,903,2004,"2025-04-04"
"@interchainjs/cosmos-types","interchain-js",28049,4416,11636,"2025-04-04"
"@interchainjs/ethermint","interchain-js",828,32,68,"2025-04-04"
"injective-query","interchain-js",96,3,5,"2025-04-04"
"injective-react","interchain-js",2652,72,415,"2025-04-04"
"injective-vue","interchain-js",2280,38,339,"2025-04-04"
"interchain-react","interchain-js",1044,13,78,"2025-04-04"
"interchain-kit","cosmos-kit",6940,103,1224,"2025-04-04"
"@interchain-kit/core","cosmos-kit",21151,3344,9342,"2025-04-04"
"@interchain-kit/react","cosmos-kit",7741,955,2104,"2025-04-04"
"@interchain-kit/vue","cosmos-kit",1956,125,264,"2025-04-04"
"cosmos-kit","cosmos-kit",54374,1121,5158,"2025-04-04"
"@cosmos-kit/core","cosmos-kit",709797,9336,38745,"2025-04-04"
"@cosmos-kit/react","cosmos-kit",159299,3864,16924,"2025-04-04"
"@cosmos-kit/react-lite","cosmos-kit",192972,3712,16666,"2025-04-04"
"@cosmos-kit/walletconnect","cosmos-kit",536780,7820,34241,"2025-04-04"
"create-cosmos-app","create-cosmos-app",5651,83,432,"2025-04-04"
"create-interchain-app","create-cosmos-app",1215,2,63,"2025-04-04"
"@interchain-kit/okx-extension","interchain-kit-wallets",12515,2413,7183,"2025-04-04"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4915,198,479,"2025-04-04"
"@interchain-kit/leap-extension","interchain-kit-wallets",12771,2470,7349,"2025-04-04"
"@interchain-kit/ledger","interchain-kit-wallets",5814,144,642,"2025-04-04"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5893,152,686,"2025-04-04"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5986,164,797,"2025-04-04"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5719,166,566,"2025-04-04"
"@interchain-kit/keplr-extension","interchain-kit-wallets",13177,2513,7559,"2025-04-04"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4182,123,547,"2025-04-04"
"@interchain-kit/station-extension","interchain-kit-wallets",4153,123,526,"2025-04-04"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",4976,860,1362,"2025-04-04"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4228,125,545,"2025-04-04"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",3752,278,1127,"2025-04-04"
"@interchain-kit/trust-extension","interchain-kit-wallets",2898,146,488,"2025-04-04"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",3624,304,1090,"2025-04-04"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1717,121,299,"2025-04-04"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58921,650,2873,"2025-04-04"
"@cosmos-kit/ledger","cosmos-kit-wallets",70223,1639,6419,"2025-04-04"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",46138,1182,6763,"2025-04-04"
"@cosmos-kit/fin","cosmos-kit-wallets",63998,1325,6883,"2025-04-04"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",65486,1250,5664,"2025-04-04"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",383773,4856,22448,"2025-04-04"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",347296,5292,22850,"2025-04-04"
"@cosmos-kit/shell","cosmos-kit-wallets",62132,1299,5389,"2025-04-04"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5942,72,335,"2025-04-04"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",451275,6589,27163,"2025-04-04"
"@cosmos-kit/vectis","cosmos-kit-wallets",70871,670,3034,"2025-04-04"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",68199,1322,6801,"2025-04-04"
"@cosmos-kit/ninji","cosmos-kit-wallets",11472,69,518,"2025-04-04"
"@cosmos-kit/station-extension","cosmos-kit-wallets",376379,4058,18476,"2025-04-04"
"@cosmos-kit/coin98","cosmos-kit-wallets",65878,1261,5691,"2025-04-04"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",505681,7433,32172,"2025-04-04"
"@cosmos-kit/exodus","cosmos-kit-wallets",60432,1244,5501,"2025-04-04"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",338183,5237,22315,"2025-04-04"
"@cosmos-kit/leap","cosmos-kit-wallets",485906,7675,32492,"2025-04-04"
"@cosmos-kit/xdefi","cosmos-kit-wallets",372504,4658,19434,"2025-04-04"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25508,517,2567,"2025-04-04"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5933,112,377,"2025-04-04"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",429724,6415,26147,"2025-04-04"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",62655,1227,5447,"2025-04-04"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",425379,6197,25272,"2025-04-04"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",70080,666,3024,"2025-04-04"
"@cosmos-kit/station","cosmos-kit-wallets",375839,4032,18421,"2025-04-04"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",61677,1244,5689,"2025-04-04"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",476549,6785,29799,"2025-04-04"
"@cosmos-kit/initia","cosmos-kit-wallets",5484,97,286,"2025-04-04"
"@cosmos-kit/frontier","cosmos-kit-wallets",58051,647,2994,"2025-04-04"
"@cosmos-kit/trust","cosmos-kit-wallets",346353,5428,22995,"2025-04-04"
"@cosmos-kit/compass","cosmos-kit-wallets",68024,1275,5750,"2025-04-04"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",501878,7414,32708,"2025-04-04"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",523852,7757,33880,"2025-04-04"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",12371,75,565,"2025-04-04"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",73110,1274,5745,"2025-04-04"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",388281,5120,20617,"2025-04-04"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",338449,3653,17880,"2025-04-04"
