"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",626,19,39,"2025-03-25"
"@hyperweb/cli","hyperwebjs",125,1,5,"2025-03-25"
"hyperwebjs","hyperwebjs",1427,94,369,"2025-03-25"
"hyperweb-kit","hyperwebjs",124,1,3,"2025-03-25"
"@hyperweb/build","hyperwebjs",644,51,145,"2025-03-25"
"@hyperweb/ts-json-schema","hyperwebjs",262,3,16,"2025-03-25"
"interchainjs","interchain-js",18510,4175,5198,"2025-03-25"
"injectivejs","interchain-js",7177,210,526,"2025-03-25"
"@interchainjs/utils","interchain-js",21069,5348,6618,"2025-03-25"
"@interchainjs/types","interchain-js",21412,5328,6628,"2025-03-25"
"@interchainjs/auth","interchain-js",17940,3995,5043,"2025-03-25"
"@interchainjs/cosmos","interchain-js",19233,4148,5322,"2025-03-25"
"@interchainjs/cosmos-msgs","interchain-js",384,3,5,"2025-03-25"
"@interchainjs/cosmos-query","interchain-js",379,3,5,"2025-03-25"
"@interchainjs/ethereum","interchain-js",7255,404,866,"2025-03-25"
"@interchainjs/injective","interchain-js",8105,434,948,"2025-03-25"
"@interchainjs/cosmos-types","interchain-js",21425,4184,5387,"2025-03-25"
"@interchainjs/ethermint","interchain-js",796,8,41,"2025-03-25"
"injective-query","interchain-js",93,1,2,"2025-03-25"
"injective-react","interchain-js",2534,158,409,"2025-03-25"
"injective-vue","interchain-js",2204,141,362,"2025-03-25"
"interchain-react","interchain-js",1005,30,51,"2025-03-25"
"interchain-kit","cosmos-kit",6642,514,1072,"2025-03-25"
"@interchain-kit/core","cosmos-kit",16085,3826,4446,"2025-03-25"
"@interchain-kit/react","cosmos-kit",6464,470,981,"2025-03-25"
"@interchain-kit/vue","cosmos-kit",1827,107,145,"2025-03-25"
"cosmos-kit","cosmos-kit",53261,1198,4989,"2025-03-25"
"@cosmos-kit/core","cosmos-kit",706544,9358,38280,"2025-03-25"
"@cosmos-kit/react","cosmos-kit",156941,4977,15561,"2025-03-25"
"@cosmos-kit/react-lite","cosmos-kit",190249,4528,15614,"2025-03-25"
"@cosmos-kit/walletconnect","cosmos-kit",531501,8083,34890,"2025-03-25"
"create-cosmos-app","create-cosmos-app",5954,239,375,"2025-03-25"
"create-interchain-app","create-cosmos-app",1219,26,72,"2025-03-25"
"@interchain-kit/okx-extension","interchain-kit-wallets",8585,3034,3392,"2025-03-25"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4713,122,347,"2025-03-25"
"@interchain-kit/leap-extension","interchain-kit-wallets",8762,3027,3496,"2025-03-25"
"@interchain-kit/ledger","interchain-kit-wallets",5582,223,541,"2025-03-25"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5669,252,590,"2025-03-25"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5670,266,603,"2025-03-25"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5543,190,525,"2025-03-25"
"@interchain-kit/keplr-extension","interchain-kit-wallets",9104,3172,3643,"2025-03-25"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4004,222,465,"2025-03-25"
"@interchain-kit/station-extension","interchain-kit-wallets",3975,197,449,"2025-03-25"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",3976,210,458,"2025-03-25"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4051,214,474,"2025-03-25"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",3280,478,742,"2025-03-25"
"@interchain-kit/trust-extension","interchain-kit-wallets",2711,182,381,"2025-03-25"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",3164,513,776,"2025-03-25"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1588,99,200,"2025-03-25"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",59137,633,2739,"2025-03-25"
"@cosmos-kit/ledger","cosmos-kit-wallets",68745,1392,5980,"2025-03-25"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",44299,1948,6978,"2025-03-25"
"@cosmos-kit/fin","cosmos-kit-wallets",62813,1757,7408,"2025-03-25"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",64713,1371,5639,"2025-03-25"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",378606,5331,24459,"2025-03-25"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",341253,5324,23603,"2025-03-25"
"@cosmos-kit/shell","cosmos-kit-wallets",61104,1194,5197,"2025-03-25"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5782,8,227,"2025-03-25"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",445607,6217,26937,"2025-03-25"
"@cosmos-kit/vectis","cosmos-kit-wallets",71515,637,3026,"2025-03-25"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",67291,1756,7417,"2025-03-25"
"@cosmos-kit/ninji","cosmos-kit-wallets",11280,96,514,"2025-03-25"
"@cosmos-kit/station-extension","cosmos-kit-wallets",371711,4204,20017,"2025-03-25"
"@cosmos-kit/coin98","cosmos-kit-wallets",65100,1371,5658,"2025-03-25"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",499172,7595,32117,"2025-03-25"
