"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",626,18,39,"2025-03-26"
"@hyperweb/cli","hyperwebjs",125,0,5,"2025-03-26"
"hyperwebjs","hyperwebjs",1429,91,365,"2025-03-26"
"hyperweb-kit","hyperwebjs",124,1,3,"2025-03-26"
"@hyperweb/build","hyperwebjs",646,48,146,"2025-03-26"
"@hyperweb/ts-json-schema","hyperwebjs",263,1,17,"2025-03-26"
"interchainjs","interchain-js",19298,4501,5977,"2025-03-26"
"injectivejs","interchain-js",7178,185,522,"2025-03-26"
"@interchainjs/utils","interchain-js",21825,5272,7350,"2025-03-26"
"@interchainjs/types","interchain-js",22168,5253,7346,"2025-03-26"
"@interchainjs/auth","interchain-js",18744,4299,5839,"2025-03-26"
"@interchainjs/cosmos","interchain-js",20009,4415,6087,"2025-03-26"
"@interchainjs/cosmos-msgs","interchain-js",384,0,5,"2025-03-26"
"@interchainjs/cosmos-query","interchain-js",379,0,5,"2025-03-26"
"@interchainjs/ethereum","interchain-js",7331,325,935,"2025-03-26"
"@interchainjs/injective","interchain-js",8198,405,1033,"2025-03-26"
"@interchainjs/cosmos-types","interchain-js",22194,4448,6149,"2025-03-26"
"@interchainjs/ethermint","interchain-js",796,0,41,"2025-03-26"
"injective-query","interchain-js",93,1,2,"2025-03-26"
"injective-react","interchain-js",2536,129,407,"2025-03-26"
"injective-vue","interchain-js",2205,111,357,"2025-03-26"
"interchain-react","interchain-js",1007,32,52,"2025-03-26"
"interchain-kit","cosmos-kit",6676,522,1100,"2025-03-26"
"@interchain-kit/core","cosmos-kit",16696,4071,5049,"2025-03-26"
"@interchain-kit/react","cosmos-kit",6511,416,1022,"2025-03-26"
"@interchain-kit/vue","cosmos-kit",1829,86,147,"2025-03-26"
"cosmos-kit","cosmos-kit",53421,1153,5120,"2025-03-26"
"@cosmos-kit/core","cosmos-kit",706848,8951,38567,"2025-03-26"
"@cosmos-kit/react","cosmos-kit",157144,4510,15818,"2025-03-26"
"@cosmos-kit/react-lite","cosmos-kit",190565,4222,16068,"2025-03-26"
"@cosmos-kit/walletconnect","cosmos-kit",532021,7549,35073,"2025-03-26"
"create-cosmos-app","create-cosmos-app",5951,233,374,"2025-03-26"
"create-interchain-app","create-cosmos-app",1219,26,71,"2025-03-26"
"@interchain-kit/okx-extension","interchain-kit-wallets",9204,3266,4006,"2025-03-26"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4715,124,348,"2025-03-26"
"@interchain-kit/leap-extension","interchain-kit-wallets",9399,3334,4125,"2025-03-26"
"@interchain-kit/ledger","interchain-kit-wallets",5590,163,545,"2025-03-26"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5671,185,587,"2025-03-26"
