"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",645,19,48,"2025-04-03"
"@hyperweb/cli","hyperwebjs",126,1,5,"2025-04-03"
"hyperwebjs","hyperwebjs",1569,134,461,"2025-04-03"
"hyperweb-kit","hyperwebjs",125,1,3,"2025-04-03"
"@hyperweb/build","hyperwebjs",697,47,181,"2025-04-03"
"@hyperweb/ts-json-schema","hyperwebjs",266,3,17,"2025-04-03"
"interchainjs","interchain-js",23397,3263,9938,"2025-04-03"
"injectivejs","interchain-js",7205,37,465,"2025-04-03"
"@interchainjs/utils","interchain-js",26468,3962,11688,"2025-04-03"
"@interchainjs/types","interchain-js",26773,3928,11638,"2025-04-03"
"@interchainjs/auth","interchain-js",22808,3382,9658,"2025-04-03"
"@interchainjs/cosmos","interchain-js",24203,3443,10083,"2025-04-03"
"@interchainjs/cosmos-msgs","interchain-js",396,12,16,"2025-04-03"
"@interchainjs/cosmos-query","interchain-js",391,12,16,"2025-04-03"
"@interchainjs/ethereum","interchain-js",8248,874,1752,"2025-04-03"
"@interchainjs/injective","interchain-js",9192,947,1927,"2025-04-03"
"@interchainjs/cosmos-types","interchain-js",27020,4134,10717,"2025-04-03"
"@interchainjs/ethermint","interchain-js",828,32,68,"2025-04-03"
"injective-query","interchain-js",96,3,5,"2025-04-03"
"injective-react","interchain-js",2651,75,416,"2025-04-03"
"injective-vue","interchain-js",2280,40,343,"2025-04-03"
"interchain-react","interchain-js",1044,25,78,"2025-04-03"
"interchain-kit","cosmos-kit",6933,144,1219,"2025-04-03"
"@interchain-kit/core","cosmos-kit",20396,3142,8599,"2025-04-03"
"@interchain-kit/react","cosmos-kit",7578,937,1948,"2025-04-03"
"@interchain-kit/vue","cosmos-kit",1954,123,266,"2025-04-03"
"cosmos-kit","cosmos-kit",54300,1102,5164,"2025-04-03"
"@cosmos-kit/core","cosmos-kit",709371,9212,38754,"2025-04-03"
"@cosmos-kit/react","cosmos-kit",158952,3713,16881,"2025-04-03"
"@cosmos-kit/react-lite","cosmos-kit",192643,3804,16753,"2025-04-03"
"@cosmos-kit/walletconnect","cosmos-kit",536120,7883,34504,"2025-04-03"
"create-cosmos-app","create-cosmos-app",5710,83,429,"2025-04-03"
"create-interchain-app","create-cosmos-app",1217,2,64,"2025-04-03"
"@interchain-kit/okx-extension","interchain-kit-wallets",11939,2251,6611,"2025-04-03"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4913,196,478,"2025-04-03"
"@interchain-kit/leap-extension","interchain-kit-wallets",12175,2289,6758,"2025-04-03"
"@interchain-kit/ledger","interchain-kit-wallets",5812,209,643,"2025-04-03"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5891,150,687,"2025-04-03"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5977,294,791,"2025-04-03"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5710,157,561,"2025-04-03"
"@interchain-kit/keplr-extension","interchain-kit-wallets",12568,2324,6961,"2025-04-03"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4181,172,550,"2025-04-03"
"@interchain-kit/station-extension","interchain-kit-wallets",4152,172,526,"2025-04-03"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",4838,858,1229,"2025-04-03"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4226,173,547,"2025-04-03"
