"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",606,7,31,"2025-03-16"
"@hyperweb/cli","hyperwebjs",123,1,12,"2025-03-16"
"hyperwebjs","hyperwebjs",1193,46,383,"2025-03-16"
"hyperweb-kit","hyperwebjs",122,0,12,"2025-03-16"
"@hyperweb/build","hyperwebjs",577,32,188,"2025-03-16"
"@hyperweb/ts-json-schema","hyperwebjs",258,6,34,"2025-03-16"
"interchainjs","interchain-js",13943,266,1682,"2025-03-16"
"injectivejs","interchain-js",6960,35,782,"2025-03-16"
"@interchainjs/utils","interchain-js",15272,335,2614,"2025-03-16"
"@interchainjs/types","interchain-js",15636,343,2665,"2025-03-16"
"@interchainjs/auth","interchain-js",13566,295,1947,"2025-03-16"
"@interchainjs/cosmos","interchain-js",14651,397,2012,"2025-03-16"
"@interchainjs/cosmos-msgs","interchain-js",381,1,2,"2025-03-16"
"@interchainjs/cosmos-query","interchain-js",376,1,2,"2025-03-16"
"@interchainjs/ethereum","interchain-js",6711,146,891,"2025-03-16"
"@interchainjs/injective","interchain-js",7507,155,963,"2025-03-16"
"@interchainjs/cosmos-types","interchain-js",16854,387,2371,"2025-03-16"
"@interchainjs/ethermint","interchain-js",788,28,34,"2025-03-16"
"injective-query","interchain-js",92,0,2,"2025-03-16"
"injective-react","interchain-js",2277,25,663,"2025-03-16"
"injective-vue","interchain-js",1974,23,603,"2025-03-16"
"interchain-react","interchain-js",971,2,32,"2025-03-16"
"interchain-kit","cosmos-kit",6034,140,854,"2025-03-16"
"@interchain-kit/core","cosmos-kit",12134,211,1258,"2025-03-16"
"@interchain-kit/react","cosmos-kit",5924,181,827,"2025-03-16"
"@interchain-kit/vue","cosmos-kit",1717,22,137,"2025-03-16"
"cosmos-kit","cosmos-kit",52000,1106,4610,"2025-03-16"
"@cosmos-kit/core","cosmos-kit",702520,6611,35192,"2025-03-16"
"@cosmos-kit/react","cosmos-kit",153018,2838,11913,"2025-03-16"
"@cosmos-kit/react-lite","cosmos-kit",186859,3043,12778,"2025-03-16"
"@cosmos-kit/walletconnect","cosmos-kit",525790,6307,32853,"2025-03-16"
"create-cosmos-app","create-cosmos-app",5788,85,150,"2025-03-16"
"create-interchain-app","create-cosmos-app",1192,21,53,"2025-03-16"
"@interchain-kit/okx-extension","interchain-kit-wallets",5525,110,666,"2025-03-16"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4587,85,447,"2025-03-16"
"@interchain-kit/leap-extension","interchain-kit-wallets",5684,151,769,"2025-03-16"
"@interchain-kit/ledger","interchain-kit-wallets",5354,105,611,"2025-03-16"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5414,120,643,"2025-03-16"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5389,119,623,"2025-03-16"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5340,112,646,"2025-03-16"
"@interchain-kit/keplr-extension","interchain-kit-wallets",5881,153,792,"2025-03-16"
"@interchain-kit/frontier-extension","interchain-kit-wallets",3782,90,524,"2025-03-16"
"@interchain-kit/station-extension","interchain-kit-wallets",3778,92,520,"2025-03-16"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",3766,94,515,"2025-03-16"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",3836,96,534,"2025-03-16"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",2799,107,501,"2025-03-16"
"@interchain-kit/trust-extension","interchain-kit-wallets",2529,77,450,"2025-03-16"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",2647,74,538,"2025-03-16"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1486,43,236,"2025-03-16"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58935,467,2190,"2025-03-16"
"@cosmos-kit/ledger","cosmos-kit-wallets",67317,1299,5317,"2025-03-16"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",42002,1264,5866,"2025-03-16"
"@cosmos-kit/fin","cosmos-kit-wallets",60875,1507,6574,"2025-03-16"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",63419,1158,4892,"2025-03-16"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",372780,4353,24420,"2025-03-16"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",334405,4160,22963,"2025-03-16"
"@cosmos-kit/shell","cosmos-kit-wallets",59923,1130,4653,"2025-03-16"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5712,77,211,"2025-03-16"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",440203,4776,25727,"2025-03-16"
"@cosmos-kit/vectis","cosmos-kit-wallets",71680,503,2448,"2025-03-16"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",65542,1508,6598,"2025-03-16"
"@cosmos-kit/ninji","cosmos-kit-wallets",11098,103,442,"2025-03-16"
"@cosmos-kit/station-extension","cosmos-kit-wallets",366482,3628,20417,"2025-03-16"
"@cosmos-kit/coin98","cosmos-kit-wallets",63791,1162,4908,"2025-03-16"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",492271,5753,29939,"2025-03-16"
"@cosmos-kit/exodus","cosmos-kit-wallets",57868,1140,4458,"2025-03-16"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",325080,4122,22912,"2025-03-16"
"@cosmos-kit/leap","cosmos-kit-wallets",471848,5698,29583,"2025-03-16"
"@cosmos-kit/xdefi","cosmos-kit-wallets",363547,3454,20471,"2025-03-16"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25307,537,2625,"2025-03-16"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5608,27,141,"2025-03-16"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",419443,4607,24790,"2025-03-16"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",60430,1132,4679,"2025-03-16"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",415210,4342,24337,"2025-03-16"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",70713,494,2388,"2025-03-16"
"@cosmos-kit/station","cosmos-kit-wallets",366031,3693,20340,"2025-03-16"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",59137,1138,4723,"2025-03-16"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",463226,5469,28672,"2025-03-16"
"@cosmos-kit/initia","cosmos-kit-wallets",5217,14,44,"2025-03-16"
"@cosmos-kit/frontier","cosmos-kit-wallets",57904,465,2186,"2025-03-16"
"@cosmos-kit/trust","cosmos-kit-wallets",333421,4136,22875,"2025-03-16"
"@cosmos-kit/compass","cosmos-kit-wallets",65980,1201,5022,"2025-03-16"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",488061,6013,31052,"2025-03-16"
