"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",607,2,31,"2025-03-18"
"@hyperweb/cli","hyperwebjs",124,1,13,"2025-03-18"
"hyperwebjs","hyperwebjs",1333,171,510,"2025-03-18"
"hyperweb-kit","hyperwebjs",123,1,13,"2025-03-18"
"@hyperweb/build","hyperwebjs",593,35,191,"2025-03-18"
"@hyperweb/ts-json-schema","hyperwebjs",259,5,25,"2025-03-18"
"interchainjs","interchain-js",14335,627,1741,"2025-03-18"
"injectivejs","interchain-js",7046,119,571,"2025-03-18"
"@interchainjs/utils","interchain-js",15721,692,2282,"2025-03-18"
"@interchainjs/types","interchain-js",16084,693,2333,"2025-03-18"
"@interchainjs/auth","interchain-js",13945,623,1881,"2025-03-18"
"@interchainjs/cosmos","interchain-js",15085,782,1986,"2025-03-18"
"@interchainjs/cosmos-msgs","interchain-js",381,0,2,"2025-03-18"
"@interchainjs/cosmos-query","interchain-js",376,0,2,"2025-03-18"
"@interchainjs/ethereum","interchain-js",6851,266,784,"2025-03-18"
"@interchainjs/injective","interchain-js",7671,313,823,"2025-03-18"
"@interchainjs/cosmos-types","interchain-js",17241,679,2198,"2025-03-18"
"@interchainjs/ethermint","interchain-js",788,27,34,"2025-03-18"
"injective-query","interchain-js",92,0,2,"2025-03-18"
"injective-react","interchain-js",2376,119,444,"2025-03-18"
"injective-vue","interchain-js",2063,107,390,"2025-03-18"
"interchain-react","interchain-js",975,5,36,"2025-03-18"
"interchain-kit","cosmos-kit",6128,148,876,"2025-03-18"
"@interchain-kit/core","cosmos-kit",12259,251,1379,"2025-03-18"
"@interchain-kit/react","cosmos-kit",5994,169,894,"2025-03-18"
"@interchain-kit/vue","cosmos-kit",1720,23,134,"2025-03-18"
"cosmos-kit","cosmos-kit",52341,1245,4797,"2025-03-18"
"@cosmos-kit/core","cosmos-kit",705630,8720,37161,"2025-03-18"
"@cosmos-kit/react","cosmos-kit",153826,3747,13077,"2025-03-18"
"@cosmos-kit/react-lite","cosmos-kit",187942,3839,13852,"2025-03-18"
"@cosmos-kit/walletconnect","cosmos-kit",528652,8018,34492,"2025-03-18"
"create-cosmos-app","create-cosmos-app",5787,20,155,"2025-03-18"
"create-interchain-app","create-cosmos-app",1197,11,57,"2025-03-18"
"@interchain-kit/okx-extension","interchain-kit-wallets",5551,60,690,"2025-03-18"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4591,30,391,"2025-03-18"
"@interchain-kit/leap-extension","interchain-kit-wallets",5735,123,817,"2025-03-18"
"@interchain-kit/ledger","interchain-kit-wallets",5359,39,612,"2025-03-18"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5417,40,641,"2025-03-18"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5404,57,634,"2025-03-18"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5353,53,656,"2025-03-18"
"@interchain-kit/keplr-extension","interchain-kit-wallets",5932,127,839,"2025-03-18"
"@interchain-kit/frontier-extension","interchain-kit-wallets",3782,35,520,"2025-03-18"
"@interchain-kit/station-extension","interchain-kit-wallets",3778,39,518,"2025-03-18"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",3766,37,512,"2025-03-18"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",3837,41,532,"2025-03-18"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",2802,106,500,"2025-03-18"
"@interchain-kit/trust-extension","interchain-kit-wallets",2529,37,447,"2025-03-18"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",2651,38,536,"2025-03-18"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1489,23,232,"2025-03-18"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",59005,765,2530,"2025-03-18"
"@cosmos-kit/ledger","cosmos-kit-wallets",67784,1653,5706,"2025-03-18"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",42496,1482,6181,"2025-03-18"
"@cosmos-kit/fin","cosmos-kit-wallets",61467,1895,7094,"2025-03-18"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",63804,1506,5301,"2025-03-18"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",375047,5411,25311,"2025-03-18"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",336535,5319,24069,"2025-03-18"
"@cosmos-kit/shell","cosmos-kit-wallets",60339,1423,5007,"2025-03-18"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5774,101,268,"2025-03-18"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",442501,6287,27102,"2025-03-18"
"@cosmos-kit/vectis","cosmos-kit-wallets",71676,864,2849,"2025-03-18"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",66136,1898,7120,"2025-03-18"
"@cosmos-kit/ninji","cosmos-kit-wallets",11184,140,491,"2025-03-18"
"@cosmos-kit/station-extension","cosmos-kit-wallets",368165,4459,21042,"2025-03-18"
"@cosmos-kit/coin98","cosmos-kit-wallets",64180,1516,5325,"2025-03-18"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",495077,7524,31627,"2025-03-18"
"@cosmos-kit/exodus","cosmos-kit-wallets",58350,1532,4911,"2025-03-18"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",327059,5289,23721,"2025-03-18"
"@cosmos-kit/leap","cosmos-kit-wallets",474731,7520,31396,"2025-03-18"
"@cosmos-kit/xdefi","cosmos-kit-wallets",365282,4346,21121,"2025-03-18"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25345,629,2727,"2025-03-18"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5694,111,225,"2025-03-18"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",421686,5980,26175,"2025-03-18"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",60853,1434,5041,"2025-03-18"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",417450,5826,25615,"2025-03-18"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",70719,837,2770,"2025-03-18"
"@cosmos-kit/station","cosmos-kit-wallets",367713,4427,20971,"2025-03-18"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",59533,1445,5091,"2025-03-18"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",466077,7067,30121,"2025-03-18"
"@cosmos-kit/initia","cosmos-kit-wallets",5280,76,106,"2025-03-18"
"@cosmos-kit/frontier","cosmos-kit-wallets",57978,761,2522,"2025-03-18"
"@cosmos-kit/trust","cosmos-kit-wallets",335547,5338,24029,"2025-03-18"
"@cosmos-kit/compass","cosmos-kit-wallets",66390,1524,5416,"2025-03-18"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",491032,7766,32883,"2025-03-18"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",512602,7947,33473,"2025-03-18"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",12031,136,506,"2025-03-18"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",71792,1517,5527,"2025-03-18"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",381290,4494,21663,"2025-03-18"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",331949,4264,21017,"2025-03-18"
"@cosmos-kit/omni","cosmos-kit-wallets",67664,1628,5694,"2025-03-18"
"@cosmos-kit/keplr","cosmos-kit-wallets",490946,8010,33210,"2025-03-18"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",69577,1644,5680,"2025-03-18"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",453958,7003,29532,"2025-03-18"
"@cosmwasm/ts-codegen","cosmwasm",998256,11635,49484,"2025-03-18"
"@cosmwasm/ts-codegen-types","cosmwasm",45065,463,1685,"2025-03-18"
"@cosmwasm/ts-codegen-ast","cosmwasm",45711,486,1748,"2025-03-18"
"wasm-ast-types","cosmwasm",950496,10811,47160,"2025-03-18"
"cosmwasm-typescript-gen","cosmwasm",5773,8,292,"2025-03-18"
"@interchain-ui/react","interchain-ui",157122,3610,12863,"2025-03-18"
"@interchain-ui/vue","interchain-ui",7428,3,28,"2025-03-18"
"@cosmology/telescope","telescope",434771,6734,29553,"2025-03-18"
"@cosmology/lcd","telescope",498048,8501,41804,"2025-03-18"
"@cosmology/ast","telescope",492842,8704,41440,"2025-03-18"
"@cosmology/types","telescope",680956,12019,59002,"2025-03-18"
"@cosmology/utils","telescope",681363,12030,59012,"2025-03-18"
"@cosmology/proto-parser","telescope",680505,11991,59067,"2025-03-18"
"@osmonauts/telescope","telescope",240725,2111,5517,"2025-03-18"
"@osmonauts/lcd","telescope",998305,30089,93196,"2025-03-18"
"@osmonauts/ast","telescope",238720,2129,5436,"2025-03-18"
"@osmonauts/utils","telescope",227220,2192,5059,"2025-03-18"
"@osmonauts/types","telescope",241694,2123,5115,"2025-03-18"
"@osmonauts/proto-parser","telescope",242724,2124,5145,"2025-03-18"
"@dydxprotocol/v4-client-js","dydx",184289,22949,62558,"2025-03-18"
"stargazejs","stargaze",6973,9,47,"2025-03-18"
"@stargaze-zone/chain","stargaze",927,0,2,"2025-03-18"
"@stargaze-zone/contracts","stargaze",1079,0,23,"2025-03-18"
"stargaze-query","stargaze",1601,14,32,"2025-03-18"
"stridejs","stride",21168,83,494,"2025-03-18"
"quicksilverjs","quicksilver",4461,1,53,"2025-03-18"
"juno-network","juno",17958,117,692,"2025-03-18"
"@juno-network/assets","juno",1824,0,4,"2025-03-18"
"@osmonauts/math","osmosis",29641,414,1824,"2025-03-18"
"osmojs","osmosis",323188,4135,16225,"2025-03-18"
"osmo-query","osmosis",20983,283,1227,"2025-03-18"
"@chain-registry/client","chain-registry",617194,11838,52815,"2025-03-18"
"@chain-registry/types","chain-registry",2297135,37693,171714,"2025-03-18"
"@chain-registry/keplr","chain-registry",1008992,16651,68955,"2025-03-18"
"@chain-registry/cosmostation","chain-registry",816639,12305,53283,"2025-03-18"
"@chain-registry/osmosis","chain-registry",86911,1804,5797,"2025-03-18"
"@chain-registry/juno","chain-registry",40438,1502,4183,"2025-03-18"
"@chain-registry/assets","chain-registry",62750,2160,6836,"2025-03-18"
"@chain-registry/utils","chain-registry",791890,13069,66074,"2025-03-18"
"chain-registry","chain-registry",995295,14404,68184,"2025-03-18"
"cosmjs-utils","cosmology",20597,255,1035,"2025-03-18"
"@cosmology/cli","cosmology",7479,270,409,"2025-03-18"
"@cosmology/core","cosmology",18420,302,711,"2025-03-18"
"cosmology","cosmology",6819,2,352,"2025-03-18"
"interchain","cosmology",67262,884,8985,"2025-03-18"
"interchain-query","cosmology",12396,185,723,"2025-03-18"
"create-cosmwasm-app","cosmology",1259,1,8,"2025-03-18"
"@cosmology-ui/react","cosmology",9933,100,160,"2025-03-18"
"starshipjs","starship",10289,227,1280,"2025-03-18"
"@starship-ci/cli","starship",7557,195,1168,"2025-03-18"
"@starship-ci/client","starship",8166,193,1187,"2025-03-18"
"@launchql/db-templates","launchql",3374,3,24,"2025-03-18"
"@launchql/db-transform","launchql",1460,1,11,"2025-03-18"
"@launchql/ext-achievements","launchql",1728,0,2,"2025-03-18"
"@launchql/ext-jobs-queue","launchql",2158,0,3,"2025-03-18"
"@launchql/ext-jwt-claims","launchql",1905,0,13,"2025-03-18"
"@launchql/ext-types","launchql",2291,0,8,"2025-03-18"
"@launchql/faker","launchql",1932,7,24,"2025-03-18"
"@launchql/inflection","launchql",2082,0,3,"2025-03-18"
"@launchql/totp","launchql",1937,0,4,"2025-03-18"
