"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",657,4,49,"2025-04-18"
"@hyperweb/cli","hyperwebjs",136,3,11,"2025-04-18"
"hyperwebjs","hyperwebjs",1780,77,442,"2025-04-18"
"hyperweb-kit","hyperwebjs",133,1,10,"2025-04-18"
"@hyperweb/build","hyperwebjs",895,69,297,"2025-04-18"
"@hyperweb/ts-json-schema","hyperwebjs",280,7,18,"2025-04-18"
"interchainjs","interchain-js",32333,4174,17538,"2025-04-18"
"injectivejs","interchain-js",7410,148,615,"2025-04-18"
"@interchainjs/utils","interchain-js",36631,4605,20078,"2025-04-18"
"@interchainjs/types","interchain-js",36793,4553,19878,"2025-04-18"
"@interchainjs/auth","interchain-js",31945,4264,17500,"2025-04-18"
"@interchainjs/cosmos","interchain-js",33366,4278,17772,"2025-04-18"
"@interchainjs/cosmos-msgs","interchain-js",403,3,19,"2025-04-18"
"@interchainjs/cosmos-query","interchain-js",394,3,15,"2025-04-18"
"@interchainjs/ethereum","interchain-js",9323,244,2317,"2025-04-18"
"@interchainjs/injective","interchain-js",10233,228,2440,"2025-04-18"
"@interchainjs/cosmos-types","interchain-js",37053,4394,19307,"2025-04-18"
"@interchainjs/ethermint","interchain-js",850,12,54,"2025-04-18"
"injective-query","interchain-js",99,2,7,"2025-04-18"
"injective-react","interchain-js",2936,128,529,"2025-04-18"
"injective-vue","interchain-js",2555,157,461,"2025-04-18"
"interchain-react","interchain-js",1068,3,93,"2025-04-18"
"interchain-kit","cosmos-kit",7858,462,1708,"2025-04-18"
"@interchain-kit/core","cosmos-kit",28177,3089,15552,"2025-04-18"
"@interchain-kit/react","cosmos-kit",10389,832,4294,"2025-04-18"
"@interchain-kit/vue","cosmos-kit",2275,170,532,"2025-04-18"
"cosmos-kit","cosmos-kit",55361,950,4584,"2025-04-18"
"@cosmos-kit/core","cosmos-kit",717193,8679,38860,"2025-04-18"
"@cosmos-kit/react","cosmos-kit",164067,4112,18029,"2025-04-18"
"@cosmos-kit/react-lite","cosmos-kit",198093,4292,17947,"2025-04-18"
"@cosmos-kit/walletconnect","cosmos-kit",544806,6812,31822,"2025-04-18"
"create-cosmos-app","create-cosmos-app",5605,80,507,"2025-04-18"
"create-interchain-app","create-cosmos-app",1237,18,59,"2025-04-18"
"@interchain-kit/okx-extension","interchain-kit-wallets",17631,2363,11693,"2025-04-18"
"@interchain-kit/mock-wallet","interchain-kit-wallets",5426,194,835,"2025-04-18"
"@interchain-kit/leap-extension","interchain-kit-wallets",18119,2448,12054,"2025-04-18"
"@interchain-kit/ledger","interchain-kit-wallets",6406,267,979,"2025-04-18"
"@interchain-kit/coin98-extension","interchain-kit-wallets",6816,407,1330,"2025-04-18"
"@interchain-kit/leap-mobile","interchain-kit-wallets",6658,284,1185,"2025-04-18"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",6666,447,1311,"2025-04-18"
"@interchain-kit/keplr-extension","interchain-kit-wallets",18725,2556,12392,"2025-04-18"
"@interchain-kit/frontier-extension","interchain-kit-wallets",5013,387,1181,"2025-04-18"
"@interchain-kit/station-extension","interchain-kit-wallets",5013,375,1185,"2025-04-18"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",7313,707,3497,"2025-04-18"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",5102,425,1215,"2025-04-18"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",4672,363,1833,"2025-04-18"
"@interchain-kit/trust-extension","interchain-kit-wallets",3725,356,1160,"2025-04-18"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",4533,401,1816,"2025-04-18"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",2157,204,648,"2025-04-18"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58735,696,2989,"2025-04-18"
"@cosmos-kit/ledger","cosmos-kit-wallets",71802,1450,6214,"2025-04-18"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",47089,718,5136,"2025-04-18"
"@cosmos-kit/fin","cosmos-kit-wallets",64985,1041,5463,"2025-04-18"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",66409,1063,5227,"2025-04-18"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",390464,3985,19515,"2025-04-18"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",354623,4272,20907,"2025-04-18"
"@cosmos-kit/shell","cosmos-kit-wallets",63048,1019,4951,"2025-04-18"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",6054,61,277,"2025-04-18"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",458597,5566,25981,"2025-04-18"
"@cosmos-kit/vectis","cosmos-kit-wallets",70605,587,3094,"2025-04-18"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",69047,1062,5423,"2025-04-18"
"@cosmos-kit/ninji","cosmos-kit-wallets",11880,199,696,"2025-04-18"
"@cosmos-kit/station-extension","cosmos-kit-wallets",382117,3503,16713,"2025-04-18"
"@cosmos-kit/coin98","cosmos-kit-wallets",66763,1063,5208,"2025-04-18"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",514701,6568,30342,"2025-04-18"
"@cosmos-kit/exodus","cosmos-kit-wallets",61706,1096,5313,"2025-04-18"
