"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",607,2,32,"2025-03-17"
"@hyperweb/cli","hyperwebjs",124,2,13,"2025-03-17"
"hyperwebjs","hyperwebjs",1271,114,453,"2025-03-17"
"hyperweb-kit","hyperwebjs",123,1,13,"2025-03-17"
"@hyperweb/build","hyperwebjs",589,34,192,"2025-03-17"
"@hyperweb/ts-json-schema","hyperwebjs",259,6,28,"2025-03-17"
"interchainjs","interchain-js",14205,517,1652,"2025-03-17"
"injectivejs","interchain-js",7053,125,608,"2025-03-17"
"@interchainjs/utils","interchain-js",15588,593,2305,"2025-03-17"
"@interchainjs/types","interchain-js",15951,600,2358,"2025-03-17"
"@interchainjs/auth","interchain-js",13836,550,1837,"2025-03-17"
"@interchainjs/cosmos","interchain-js",14919,653,1881,"2025-03-17"
"@interchainjs/cosmos-msgs","interchain-js",381,1,2,"2025-03-17"
"@interchainjs/cosmos-query","interchain-js",376,1,2,"2025-03-17"
"@interchainjs/ethereum","interchain-js",6816,245,770,"2025-03-17"
"@interchainjs/injective","interchain-js",7637,281,819,"2025-03-17"
"@interchainjs/cosmos-types","interchain-js",17129,606,2179,"2025-03-17"
"@interchainjs/ethermint","interchain-js",788,28,34,"2025-03-17"
"injective-query","interchain-js",92,0,2,"2025-03-17"
"injective-react","interchain-js",2373,119,477,"2025-03-17"
"injective-vue","interchain-js",2063,109,429,"2025-03-17"
"interchain-react","interchain-js",975,6,36,"2025-03-17"
"interchain-kit","cosmos-kit",6097,125,914,"2025-03-17"
"@interchain-kit/core","cosmos-kit",12199,201,1320,"2025-03-17"
"@interchain-kit/react","cosmos-kit",5962,214,862,"2025-03-17"
"@interchain-kit/vue","cosmos-kit",1719,24,138,"2025-03-17"
"cosmos-kit","cosmos-kit",52185,1245,4666,"2025-03-17"
"@cosmos-kit/core","cosmos-kit",704552,8314,36331,"2025-03-17"
"@cosmos-kit/react","cosmos-kit",153603,3526,12424,"2025-03-17"
"@cosmos-kit/react-lite","cosmos-kit",187477,3688,13246,"2025-03-17"
"@cosmos-kit/walletconnect","cosmos-kit",527735,7860,33974,"2025-03-17"
"create-cosmos-app","create-cosmos-app",5794,19,156,"2025-03-17"
"create-interchain-app","create-cosmos-app",1196,12,56,"2025-03-17"
"@interchain-kit/okx-extension","interchain-kit-wallets",5527,38,666,"2025-03-17"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4590,30,448,"2025-03-17"
"@interchain-kit/leap-extension","interchain-kit-wallets",5706,102,788,"2025-03-17"
"@interchain-kit/ledger","interchain-kit-wallets",5358,43,613,"2025-03-17"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5416,51,643,"2025-03-17"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5402,60,634,"2025-03-17"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5351,52,655,"2025-03-17"
"@interchain-kit/keplr-extension","interchain-kit-wallets",5903,105,811,"2025-03-17"
"@interchain-kit/frontier-extension","interchain-kit-wallets",3782,89,522,"2025-03-17"
"@interchain-kit/station-extension","interchain-kit-wallets",3778,92,518,"2025-03-17"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",3766,91,513,"2025-03-17"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",3837,91,533,"2025-03-17"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",2801,108,501,"2025-03-17"
"@interchain-kit/trust-extension","interchain-kit-wallets",2529,74,448,"2025-03-17"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",2650,75,539,"2025-03-17"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1488,44,238,"2025-03-17"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",59065,657,2373,"2025-03-17"
"@cosmos-kit/ledger","cosmos-kit-wallets",67593,1563,5469,"2025-03-17"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",42276,1510,6044,"2025-03-17"
"@cosmos-kit/fin","cosmos-kit-wallets",61191,1780,6786,"2025-03-17"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",63670,1410,5065,"2025-03-17"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",374232,5292,25140,"2025-03-17"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",335894,5067,23801,"2025-03-17"
"@cosmos-kit/shell","cosmos-kit-wallets",60167,1354,4800,"2025-03-17"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5745,110,239,"2025-03-17"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",441732,6024,26689,"2025-03-17"
"@cosmos-kit/vectis","cosmos-kit-wallets",71809,721,2660,"2025-03-17"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",65859,1782,6811,"2025-03-17"
"@cosmos-kit/ninji","cosmos-kit-wallets",11150,112,491,"2025-03-17"
"@cosmos-kit/station-extension","cosmos-kit-wallets",367705,4395,21048,"2025-03-17"
"@cosmos-kit/coin98","cosmos-kit-wallets",64045,1416,5086,"2025-03-17"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",494083,7124,31020,"2025-03-17"
"@cosmos-kit/exodus","cosmos-kit-wallets",58196,1456,4697,"2025-03-17"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",326416,5029,23605,"2025-03-17"
"@cosmos-kit/leap","cosmos-kit-wallets",473793,7079,30731,"2025-03-17"
"@cosmos-kit/xdefi","cosmos-kit-wallets",364810,4286,21136,"2025-03-17"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25381,564,2617,"2025-03-17"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5644,63,175,"2025-03-17"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",421006,5641,25751,"2025-03-17"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",60676,1359,4828,"2025-03-17"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",416745,5511,25246,"2025-03-17"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",70840,703,2590,"2025-03-17"
"@cosmos-kit/station","cosmos-kit-wallets",367251,4354,20977,"2025-03-17"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",59381,1370,4878,"2025-03-17"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",465053,6757,29634,"2025-03-17"
"@cosmos-kit/initia","cosmos-kit-wallets",5249,46,75,"2025-03-17"
"@cosmos-kit/frontier","cosmos-kit-wallets",58035,655,2368,"2025-03-17"
"@cosmos-kit/trust","cosmos-kit-wallets",334916,5051,23739,"2025-03-17"
"@cosmos-kit/compass","cosmos-kit-wallets",66234,1442,5188,"2025-03-17"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",490026,7422,32239,"2025-03-17"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",511558,7575,32805,"2025-03-17"
"@cosmos-kit/ninji-extension","cosmos-kit-wallets",11996,107,506,"2025-03-17"
"@cosmos-kit/compass-extension","cosmos-kit-wallets",71634,1433,5304,"2025-03-17"
"@cosmos-kit/xdefi-extension","cosmos-kit-wallets",380928,4404,21635,"2025-03-17"
"@cosmos-kit/okxwallet","cosmos-kit-wallets",331331,4128,20977,"2025-03-17"
"@cosmos-kit/omni","cosmos-kit-wallets",67625,1491,5419,"2025-03-17"
"@cosmos-kit/keplr","cosmos-kit-wallets",490001,7586,32467,"2025-03-17"
"@cosmos-kit/omni-mobile","cosmos-kit-wallets",69541,1503,5401,"2025-03-17"
"@cosmos-kit/leap-metamask-cosmos-snap","cosmos-kit-wallets",452853,6806,29147,"2025-03-17"
"@cosmwasm/ts-codegen","cosmwasm",996357,11232,48299,"2025-03-17"
"@cosmwasm/ts-codegen-types","cosmwasm",44983,419,1624,"2025-03-17"
"@cosmwasm/ts-codegen-ast","cosmwasm",45621,434,1681,"2025-03-17"
"wasm-ast-types","cosmwasm",948659,10584,46188,"2025-03-17"
"cosmwasm-typescript-gen","cosmwasm",5774,56,293,"2025-03-17"
"@interchain-ui/react","interchain-ui",156450,3538,12292,"2025-03-17"
"@interchain-ui/vue","interchain-ui",7427,3,27,"2025-03-17"
"@cosmology/telescope","telescope",433700,6730,29097,"2025-03-17"
"@cosmology/lcd","telescope",496650,8555,41585,"2025-03-17"
"@cosmology/ast","telescope",491425,8710,40777,"2025-03-17"
"@cosmology/types","telescope",679106,12050,58518,"2025-03-17"
"@cosmology/utils","telescope",679504,12053,58519,"2025-03-17"
"@cosmology/proto-parser","telescope",678654,12029,58585,"2025-03-17"
"@osmonauts/telescope","telescope",240322,1902,5222,"2025-03-17"
"@osmonauts/lcd","telescope",991534,26514,87844,"2025-03-17"
"@osmonauts/ast","telescope",238317,1920,5141,"2025-03-17"
"@osmonauts/utils","telescope",226743,1909,4690,"2025-03-17"
"@osmonauts/types","telescope",241297,1914,4819,"2025-03-17"
"@osmonauts/proto-parser","telescope",242327,1915,4850,"2025-03-17"
"@dydxprotocol/v4-client-js","dydx",178821,19696,57837,"2025-03-17"
"stargazejs","stargaze",6985,9,51,"2025-03-17"
"@stargaze-zone/chain","stargaze",927,0,2,"2025-03-17"
"@stargaze-zone/contracts","stargaze",1079,22,23,"2025-03-17"
"stargaze-query","stargaze",1601,14,33,"2025-03-17"
"stridejs","stride",21161,87,487,"2025-03-17"
