"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",647,15,48,"2025-04-08"
"@hyperweb/cli","hyperwebjs",126,1,4,"2025-04-08"
"hyperwebjs","hyperwebjs",1583,21,436,"2025-04-08"
"hyperweb-kit","hyperwebjs",125,0,3,"2025-04-08"
"@hyperweb/build","hyperwebjs",714,25,169,"2025-04-08"
"@hyperweb/ts-json-schema","hyperwebjs",266,3,14,"2025-04-08"
"interchainjs","interchain-js",25629,3688,11954,"2025-04-08"
"injectivejs","interchain-js",7262,109,541,"2025-04-08"
"@interchainjs/utils","interchain-js",29393,4852,14456,"2025-04-08"
"@interchainjs/types","interchain-js",29616,4760,14323,"2025-04-08"
"@interchainjs/auth","interchain-js",25112,3798,11841,"2025-04-08"
"@interchainjs/cosmos","interchain-js",26513,3829,12259,"2025-04-08"
"@interchainjs/cosmos-msgs","interchain-js",400,13,20,"2025-04-08"
"@interchainjs/cosmos-query","interchain-js",391,9,16,"2025-04-08"
"@interchainjs/ethereum","interchain-js",8861,1087,2296,"2025-04-08"
"@interchainjs/injective","interchain-js",9817,1115,2465,"2025-04-08"
"@interchainjs/cosmos-types","interchain-js",29980,4893,13513,"2025-04-08"
"@interchainjs/ethermint","interchain-js",838,34,78,"2025-04-08"
"injective-query","interchain-js",97,3,5,"2025-04-08"
"injective-react","interchain-js",2729,78,477,"2025-04-08"
"injective-vue","interchain-js",2320,40,369,"2025-04-08"
"interchain-react","interchain-js",1060,16,91,"2025-04-08"
"interchain-kit","cosmos-kit",7009,100,1116,"2025-04-08"
"@interchain-kit/core","cosmos-kit",22531,3638,10608,"2025-04-08"
"@interchain-kit/react","cosmos-kit",8367,1321,2624,"2025-04-08"
"@interchain-kit/vue","cosmos-kit",2028,109,333,"2025-04-08"
"cosmos-kit","cosmos-kit",54318,1009,4785,"2025-04-08"
"@cosmos-kit/core","cosmos-kit",710084,9333,38085,"2025-04-08"
"@cosmos-kit/react","cosmos-kit",158806,3459,16566,"2025-04-08"
"@cosmos-kit/react-lite","cosmos-kit",192974,3388,16220,"2025-04-08"
"@cosmos-kit/walletconnect","cosmos-kit",538376,7615,33196,"2025-04-08"
"create-cosmos-app","create-cosmos-app",5530,24,445,"2025-04-08"
"create-interchain-app","create-cosmos-app",1214,6,62,"2025-04-08"
"@interchain-kit/okx-extension","interchain-kit-wallets",13396,2504,7981,"2025-04-08"
"@interchain-kit/mock-wallet","interchain-kit-wallets",5030,185,528,"2025-04-08"
"@interchain-kit/leap-extension","interchain-kit-wallets",13666,2548,8133,"2025-04-08"
"@interchain-kit/ledger","interchain-kit-wallets",5932,198,683,"2025-04-08"
"@interchain-kit/coin98-extension","interchain-kit-wallets",6019,211,725,"2025-04-08"
"@interchain-kit/leap-mobile","interchain-kit-wallets",6119,225,849,"2025-04-08"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5851,224,623,"2025-04-08"
"@interchain-kit/keplr-extension","interchain-kit-wallets",14097,2602,8369,"2025-04-08"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4297,179,605,"2025-04-08"
"@interchain-kit/station-extension","interchain-kit-wallets",4272,182,586,"2025-04-08"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",5522,1174,1850,"2025-04-08"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4335,172,595,"2025-04-08"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",3917,221,1225,"2025-04-08"
"@interchain-kit/trust-extension","interchain-kit-wallets",2986,138,534,"2025-04-08"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",3785,214,1212,"2025-04-08"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1791,108,348,"2025-04-08"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",58276,677,2822,"2025-04-08"
"@cosmos-kit/ledger","cosmos-kit-wallets",70060,1309,6189,"2025-04-08"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",46071,772,6087,"2025-04-08"
"@cosmos-kit/fin","cosmos-kit-wallets",63741,1037,6441,"2025-04-08"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",65172,1085,5455,"2025-04-08"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",385681,4663,21442,"2025-04-08"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",348903,5109,22273,"2025-04-08"
"@cosmos-kit/shell","cosmos-kit-wallets",61898,1015,5163,"2025-04-08"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5978,48,343,"2025-04-08"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",452701,6253,26671,"2025-04-08"
"@cosmos-kit/vectis","cosmos-kit-wallets",70019,674,2931,"2025-04-08"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",67954,1053,6371,"2025-04-08"
"@cosmos-kit/ninji","cosmos-kit-wallets",11523,77,528,"2025-04-08"
"@cosmos-kit/station-extension","cosmos-kit-wallets",377720,4024,17874,"2025-04-08"
"@cosmos-kit/coin98","cosmos-kit-wallets",65534,1058,5446,"2025-04-08"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",507551,7234,31352,"2025-04-08"
"@cosmos-kit/exodus","cosmos-kit-wallets",60324,1131,5550,"2025-04-08"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",340030,5064,21898,"2025-04-08"
"@cosmos-kit/leap","cosmos-kit-wallets",487900,7601,31903,"2025-04-08"
"@cosmos-kit/xdefi","cosmos-kit-wallets",373826,4329,18629,"2025-04-08"
"@cosmos-kit/web3auth","cosmos-kit-wallets",24959,299,2320,"2025-04-08"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5966,41,385,"2025-04-08"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",431011,6106,25745,"2025-04-08"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",62406,1012,5211,"2025-04-08"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",426934,5972,24908,"2025-04-08"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",69303,680,2942,"2025-04-08"
"@cosmos-kit/station","cosmos-kit-wallets",377169,3984,17834,"2025-04-08"
