"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",644,18,48,"2025-04-02"
"@hyperweb/cli","hyperwebjs",126,1,5,"2025-04-02"
"hyperwebjs","hyperwebjs",1566,137,467,"2025-04-02"
"hyperweb-kit","hyperwebjs",125,1,4,"2025-04-02"
"@hyperweb/build","hyperwebjs",694,48,180,"2025-04-02"
"@hyperweb/ts-json-schema","hyperwebjs",266,3,17,"2025-04-02"
"interchainjs","interchain-js",22679,3382,9304,"2025-04-02"
"injectivejs","interchain-js",7205,89,546,"2025-04-02"
"@interchainjs/utils","interchain-js",25399,3574,10813,"2025-04-02"
"@interchainjs/types","interchain-js",25706,3538,10774,"2025-04-02"
"@interchainjs/auth","interchain-js",22039,3295,9033,"2025-04-02"
"@interchainjs/cosmos","interchain-js",23424,3415,9439,"2025-04-02"
"@interchainjs/cosmos-msgs","interchain-js",393,9,13,"2025-04-02"
"@interchainjs/cosmos-query","interchain-js",388,9,13,"2025-04-02"
"@interchainjs/ethereum","interchain-js",7900,569,1476,"2025-04-02"
"@interchainjs/injective","interchain-js",8828,630,1628,"2025-04-02"
"@interchainjs/cosmos-types","interchain-js",25952,3758,9806,"2025-04-02"
"@interchainjs/ethermint","interchain-js",820,24,60,"2025-04-02"
"injective-query","interchain-js",94,1,3,"2025-04-02"
"injective-react","interchain-js",2651,115,495,"2025-04-02"
"injective-vue","interchain-js",2280,75,410,"2025-04-02"
"interchain-react","interchain-js",1044,37,78,"2025-04-02"
"interchain-kit","cosmos-kit",6926,250,1220,"2025-04-02"
"@interchain-kit/core","cosmos-kit",19604,2908,7813,"2025-04-02"
"@interchain-kit/react","cosmos-kit",7200,689,1576,"2025-04-02"
"@interchain-kit/vue","cosmos-kit",1926,97,239,"2025-04-02"
"cosmos-kit","cosmos-kit",54238,1114,5235,"2025-04-02"
"@cosmos-kit/core","cosmos-kit",709198,8936,38956,"2025-04-02"
"@cosmos-kit/react","cosmos-kit",159139,3949,17161,"2025-04-02"
"@cosmos-kit/react-lite","cosmos-kit",192507,3876,16912,"2025-04-02"
"@cosmos-kit/walletconnect","cosmos-kit",535801,7905,34855,"2025-04-02"
"create-cosmos-app","create-cosmos-app",5714,87,429,"2025-04-02"
"create-interchain-app","create-cosmos-app",1217,5,64,"2025-04-02"
"@interchain-kit/okx-extension","interchain-kit-wallets",11454,2250,6128,"2025-04-02"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4851,136,416,"2025-04-02"
"@interchain-kit/leap-extension","interchain-kit-wallets",11687,2288,6278,"2025-04-02"
"@interchain-kit/ledger","interchain-kit-wallets",5741,151,574,"2025-04-02"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5816,145,615,"2025-04-02"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5903,224,721,"2025-04-02"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5636,85,491,"2025-04-02"
"@interchain-kit/keplr-extension","interchain-kit-wallets",12079,2331,6479,"2025-04-02"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4126,119,497,"2025-04-02"
"@interchain-kit/station-extension","interchain-kit-wallets",4097,117,475,"2025-04-02"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",4481,501,874,"2025-04-02"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4171,118,495,"2025-04-02"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",3705,348,1085,"2025-04-02"
"@interchain-kit/trust-extension","interchain-kit-wallets",2855,140,451,"2025-04-02"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",3579,338,1084,"2025-04-02"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1690,95,277,"2025-04-02"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",59274,670,2950,"2025-04-02"
"@cosmos-kit/ledger","cosmos-kit-wallets",70045,1555,6503,"2025-04-02"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",45828,1335,7123,"2025-04-02"
"@cosmos-kit/fin","cosmos-kit-wallets",63976,1397,7222,"2025-04-02"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",65547,1236,5855,"2025-04-02"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",382567,4824,23003,"2025-04-02"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",346328,5263,23079,"2025-04-02"
"@cosmos-kit/shell","cosmos-kit-wallets",62106,1285,5524,"2025-04-02"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5934,90,337,"2025-04-02"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",450202,6640,27342,"2025-04-02"
