"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",626,6,32,"2025-03-30"
"@hyperweb/cli","hyperwebjs",125,0,4,"2025-03-30"
"hyperwebjs","hyperwebjs",1544,145,456,"2025-03-30"
"hyperweb-kit","hyperwebjs",125,2,4,"2025-03-30"
"@hyperweb/build","hyperwebjs",672,40,163,"2025-03-30"
"@hyperweb/ts-json-schema","hyperwebjs",263,1,14,"2025-03-30"
"interchainjs","interchain-js",21159,3584,7808,"2025-03-30"
"injectivejs","interchain-js",7216,143,567,"2025-03-30"
"@interchainjs/utils","interchain-js",23638,3440,9118,"2025-03-30"
"@interchainjs/types","interchain-js",23967,3423,9095,"2025-03-30"
"@interchainjs/auth","interchain-js",20531,3428,7585,"2025-03-30"
"@interchainjs/cosmos","interchain-js",21890,3527,7925,"2025-03-30"
"@interchainjs/cosmos-msgs","interchain-js",384,0,4,"2025-03-30"
"@interchainjs/cosmos-query","interchain-js",379,0,4,"2025-03-30"
"@interchainjs/ethereum","interchain-js",7615,405,1200,"2025-03-30"
"@interchainjs/injective","interchain-js",8490,436,1304,"2025-03-30"
"@interchainjs/cosmos-types","interchain-js",24105,3555,8016,"2025-03-30"
"@interchainjs/ethermint","interchain-js",796,0,39,"2025-03-30"
"injective-query","interchain-js",93,1,2,"2025-03-30"
"injective-react","interchain-js",2650,160,512,"2025-03-30"
"injective-vue","interchain-js",2279,119,419,"2025-03-30"
"interchain-react","interchain-js",1031,38,70,"2025-03-30"
"interchain-kit","cosmos-kit",6851,343,1186,"2025-03-30"
"@interchain-kit/core","cosmos-kit",18136,2908,6394,"2025-03-30"
"@interchain-kit/react","cosmos-kit",6850,464,1272,"2025-03-30"
"@interchain-kit/vue","cosmos-kit",1835,17,148,"2025-03-30"
"cosmos-kit","cosmos-kit",53847,1098,4963,"2025-03-30"
"@cosmos-kit/core","cosmos-kit",706332,8091,38437,"2025-03-30"
"@cosmos-kit/react","cosmos-kit",158214,3579,16420,"2025-03-30"
"@cosmos-kit/react-lite","cosmos-kit",191434,3594,16261,"2025-03-30"
"@cosmos-kit/walletconnect","cosmos-kit",532986,7091,34431,"2025-03-30"
"create-cosmos-app","create-cosmos-app",5831,84,355,"2025-03-30"
"create-interchain-app","create-cosmos-app",1222,15,68,"2025-03-30"
"@interchain-kit/okx-extension","interchain-kit-wallets",10356,2459,5075,"2025-03-30"
"@interchain-kit/mock-wallet","interchain-kit-wallets",4783,79,353,"2025-03-30"
"@interchain-kit/leap-extension","interchain-kit-wallets",10564,2497,5202,"2025-03-30"
"@interchain-kit/ledger","interchain-kit-wallets",5675,112,554,"2025-03-30"
"@interchain-kit/coin98-extension","interchain-kit-wallets",5746,92,584,"2025-03-30"
"@interchain-kit/leap-mobile","interchain-kit-wallets",5827,178,681,"2025-03-30"
"@interchain-kit/keplr-mobile","interchain-kit-wallets",5559,31,457,"2025-03-30"
"@interchain-kit/keplr-extension","interchain-kit-wallets",10927,2532,5372,"2025-03-30"
"@interchain-kit/frontier-extension","interchain-kit-wallets",4064,76,462,"2025-03-30"
"@interchain-kit/station-extension","interchain-kit-wallets",4034,71,446,"2025-03-30"
"@interchain-kit/cosmostation-extension","interchain-kit-wallets",4163,201,585,"2025-03-30"
"@interchain-kit/galaxy-station-extension","interchain-kit-wallets",4107,70,463,"2025-03-30"
"@interchain-kit/cosmos-extension-metamask","interchain-kit-wallets",3555,438,997,"2025-03-30"
"@interchain-kit/trust-extension","interchain-kit-wallets",2791,93,411,"2025-03-30"
"@interchain-kit/leap-cosmos-extension-metamask","interchain-kit-wallets",3434,440,995,"2025-03-30"
"@interchain-kit/xdefi-extension","interchain-kit-wallets",1600,20,187,"2025-03-30"
"@cosmos-kit/frontier-extension","cosmos-kit-wallets",59275,722,2893,"2025-03-30"
"@cosmos-kit/ledger","cosmos-kit-wallets",69608,1413,6250,"2025-03-30"
"@cosmos-kit/cosmos-extension-metamask","cosmos-kit-wallets",45483,1659,7110,"2025-03-30"
"@cosmos-kit/fin","cosmos-kit-wallets",63608,1321,7221,"2025-03-30"
"@cosmos-kit/coin98-extension","cosmos-kit-wallets",65290,1153,5709,"2025-03-30"
"@cosmos-kit/okxwallet-extension","cosmos-kit-wallets",380668,4419,23275,"2025-03-30"
"@cosmos-kit/trust-mobile","cosmos-kit-wallets",344458,4850,23111,"2025-03-30"
"@cosmos-kit/shell","cosmos-kit-wallets",61762,1193,5336,"2025-03-30"
"@cosmos-kit/leap-capsule-social-login","cosmos-kit-wallets",5903,124,315,"2025-03-30"
"@cosmos-kit/cosmostation-extension","cosmos-kit-wallets",447910,5974,27003,"2025-03-30"
"@cosmos-kit/vectis","cosmos-kit-wallets",71474,605,3163,"2025-03-30"
"@cosmos-kit/fin-extension","cosmos-kit-wallets",67869,1239,7152,"2025-03-30"
"@cosmos-kit/ninji","cosmos-kit-wallets",11443,179,571,"2025-03-30"
"@cosmos-kit/station-extension","cosmos-kit-wallets",374137,3855,19363,"2025-03-30"
"@cosmos-kit/coin98","cosmos-kit-wallets",65666,1160,5735,"2025-03-30"
"@cosmos-kit/leap-extension","cosmos-kit-wallets",501793,6733,32098,"2025-03-30"
"@cosmos-kit/exodus","cosmos-kit-wallets",60052,1159,5543,"2025-03-30"
"@cosmos-kit/trust-extension","cosmos-kit-wallets",335207,4794,22883,"2025-03-30"
"@cosmos-kit/leap","cosmos-kit-wallets",481989,6604,32107,"2025-03-30"
"@cosmos-kit/xdefi","cosmos-kit-wallets",369924,4166,19717,"2025-03-30"
"@cosmos-kit/web3auth","cosmos-kit-wallets",25787,742,2873,"2025-03-30"
"@cosmos-kit/initia-extension","cosmos-kit-wallets",5920,188,379,"2025-03-30"
"@cosmos-kit/cosmostation","cosmos-kit-wallets",426662,5564,25928,"2025-03-30"
"@cosmos-kit/shell-extension","cosmos-kit-wallets",62289,1144,5401,"2025-03-30"
"@cosmos-kit/cosmostation-mobile","cosmos-kit-wallets",422301,5464,25160,"2025-03-30"
"@cosmos-kit/vectis-extension","cosmos-kit-wallets",70606,748,3133,"2025-03-30"
"@cosmos-kit/station","cosmos-kit-wallets",373614,3831,19302,"2025-03-30"
"@cosmos-kit/exodus-extension","cosmos-kit-wallets",61293,1165,5648,"2025-03-30"
"@cosmos-kit/leap-mobile","cosmos-kit-wallets",472713,6218,29888,"2025-03-30"
"@cosmos-kit/initia","cosmos-kit-wallets",5451,141,260,"2025-03-30"
"@cosmos-kit/frontier","cosmos-kit-wallets",58389,726,3008,"2025-03-30"
"@cosmos-kit/trust","cosmos-kit-wallets",343459,4836,23122,"2025-03-30"
"@cosmos-kit/compass","cosmos-kit-wallets",67812,1193,5750,"2025-03-30"
"@cosmos-kit/keplr-mobile","cosmos-kit-wallets",498001,6750,32810,"2025-03-30"
"@cosmos-kit/keplr-extension","cosmos-kit-wallets",519699,7038,33821,"2025-03-30"
